No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
0 < 100,Mira,2140,7,12,0,12,2861,85,105,311,4900,2284,12717
0 < 100,OSARG,97,142,6,1,16,5124,124,118,153,5124,393,11298
0 < 100,RRab,18,314,215,38,57,3197,2979,662,1924,2364,53,11821
0 < 100,RRc,5,1187,45,138,55,1575,5690,421,1381,1127,33,11657
0 < 100,SRV,1033,95,32,2,257,3747,308,114,372,4937,1279,12176
0 < 100,clasCep,106,20,4,0,8,1094,346,44,88,587,102,2399
0 < 100,clasOvertoneCep,53,53,0,10,6,173,693,25,35,155,28,1231
0 < 100,contactBinary,21,671,25,42,53,3300,3025,707,1270,2741,113,11968
0 < 100,detachedBinary,20,632,7,23,42,2918,3266,469,2195,1944,115,11631
0 < 100,t2Cep,182,165,5,6,52,1482,683,506,555,1909,116,5661
0 < 100,t2RVTau,12,2,0,0,5,323,14,9,8,458,139,970
100 < 200,Mira,6899,0,1,0,9,83,0,23,17,303,122,7457
100 < 200,OSARG,4,1613,2,1,190,136,11,43,35,635,9,2679
100 < 200,RRab,0,8,647,128,1,93,129,242,232,193,3,1676
100 < 200,RRc,0,25,103,415,1,23,229,209,234,83,3,1325
100 < 200,SRV,499,273,5,11,2658,363,190,785,1434,2616,446,9280
100 < 200,clasCep,4,0,17,2,2,2992,341,33,14,294,9,3708
100 < 200,clasOvertoneCep,0,0,0,1,0,104,1505,15,5,45,0,1675
100 < 200,contactBinary,0,13,29,37,1,34,81,483,229,144,3,1054
100 < 200,detachedBinary,1,39,9,16,3,15,50,275,556,100,7,1071
100 < 200,t2Cep,16,83,14,4,25,252,113,455,194,1844,20,3020
100 < 200,t2RVTau,0,0,0,0,0,0,0,2,3,23,259,287
1000 < 1100,Mira,55,0,0,0,2,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,50,0,0,12,0,1,0,0,2,0,65
