No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
0 < 100,Mira,1673,11,30,5,32,1921,55,222,597,6518,1653,12717
0 < 100,OSARG,61,145,5,1,43,3505,101,170,171,6799,297,11298
0 < 100,RRab,7,656,211,73,292,1303,2179,2218,1820,3027,35,11821
0 < 100,RRc,3,2243,33,183,348,542,3905,1665,1683,1040,12,11657
0 < 100,SRV,528,101,49,15,291,2472,261,255,505,6646,1053,12176
0 < 100,clasCep,25,15,16,4,14,1038,329,87,69,696,106,2399
0 < 100,clasOvertoneCep,8,72,1,7,17,135,703,39,47,183,19,1231
0 < 100,contactBinary,8,1265,17,62,241,1422,2254,1647,1387,3606,59,11968
0 < 100,detachedBinary,5,934,11,36,357,1498,2065,1424,2621,2604,76,11631
0 < 100,t2Cep,123,133,16,23,108,891,782,571,438,2441,135,5661
0 < 100,t2RVTau,10,4,1,0,5,186,20,12,13,611,108,970
100 < 200,Mira,6841,0,1,0,9,119,4,26,17,255,185,7457
100 < 200,OSARG,1,1586,0,1,218,282,5,55,34,482,15,2679
100 < 200,RRab,0,10,631,147,1,93,75,358,177,183,1,1676
100 < 200,RRc,0,27,64,460,6,12,130,373,170,83,0,1325
100 < 200,SRV,490,292,3,10,2823,429,237,1193,1007,2497,299,9280
100 < 200,clasCep,0,0,15,3,0,3095,293,24,12,261,5,3708
100 < 200,clasOvertoneCep,0,0,0,1,0,55,1556,24,6,33,0,1675
100 < 200,contactBinary,1,24,22,32,1,34,73,562,174,130,1,1054
100 < 200,detachedBinary,0,37,10,19,5,10,58,372,464,93,3,1071
100 < 200,t2Cep,8,18,12,24,14,143,271,441,163,1900,26,3020
100 < 200,t2RVTau,4,0,0,0,0,0,0,5,1,26,251,287
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,52,0,0,12,0,0,0,0,0,1,65
1000 < 1100,RRab,0,0,62,14,0,0,0,2,0,5,0,83
1000 < 1100,RRc,0,0,4,87,0,0,0,0,0,1,0,92
1000 < 1100,SRV,1,2,0,0,49,1,0,0,0,0,0,53
1000 < 1100,contactBinary,0,0,0,0,0,0,0,1,2,0,0,3
1000 < 1100,detachedBinary,0,0,0,0,0,0,0,2,4,0,0,6
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,15,0,15
10100 < 10200,RRab,0,0,0,1,0,0,0,0,0,0,0,1
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,1,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRc,0,0,0,3,0,0,0,0,0,0,0,3
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10500 < 10600,contactBinary,0,0,1,0,0,0,0,0,0,0,0,1
10600 < 10700,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10600 < 10700,RRc,0,0,1,0,0,0,0,0,0,0,0,1
10900 < 11000,RRab,0,0,5,0,0,0,0,0,0,0,0,5
10900 < 11000,RRc,0,0,0,4,0,0,0,0,0,0,0,4
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,210,0,0,13,0,1,0,0,1,0,225
1100 < 1200,RRab,0,0,9,8,0,0,0,0,0,0,0,17
1100 < 1200,RRc,0,0,0,13,0,0,0,4,1,0,0,18
1100 < 1200,SRV,2,14,0,0,149,0,0,0,0,0,8,173
1100 < 1200,clasCep,0,0,0,0,0,6,0,0,0,0,0,6
1100 < 1200,contactBinary,0,0,0,1,0,0,0,5,0,0,0,6
1100 < 1200,detachedBinary,0,0,1,0,0,0,0,5,4,0,0,10
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,2,1,0,0,0,0,0,0,0,3
11000 < 11100,RRc,0,0,0,2,0,0,0,0,0,0,0,2
11100 < 11200,RRab,0,0,1,1,0,0,0,0,0,0,0,2
11100 < 11200,RRc,0,0,0,2,0,0,0,0,0,0,0,2
11200 < 11300,RRab,0,0,4,0,0,0,0,0,0,2,0,6
11200 < 11300,RRc,0,0,0,1,0,0,0,0,0,0,0,1
11300 < 11400,RRc,0,0,0,1,0,0,0,0,0,1,0,2
11400 < 11500,RRc,0,0,0,1,0,0,0,0,0,0,0,1
11500 < 11600,RRab,0,0,1,0,0,0,0,0,0,0,0,1
11600 < 11700,RRab,0,0,1,0,0,0,0,0,0,0,0,1
11600 < 11700,RRc,0,0,0,2,0,0,0,0,0,2,0,4
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,3,0,0,0,0,0,0,0,1,4
11700 < 11800,RRc,0,0,1,4,0,0,0,0,0,0,0,5
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
11800 < 11900,RRab,0,0,2,0,0,0,0,0,0,0,0,2
11800 < 11900,RRc,0,1,0,1,0,0,0,0,0,0,0,2
11900 < 12000,RRab,0,0,2,0,0,0,0,0,0,0,2,4
1200 < 1300,Mira,69,0,0,0,0,0,0,0,0,0,0,69
1200 < 1300,OSARG,0,76,0,0,5,0,0,0,0,0,0,81
1200 < 1300,RRab,0,0,16,3,0,3,0,1,1,4,0,28
1200 < 1300,RRc,0,0,0,17,0,0,1,1,0,1,0,20
1200 < 1300,SRV,0,3,0,0,75,0,0,0,0,0,0,78
1200 < 1300,contactBinary,0,0,0,0,0,0,0,15,1,0,0,16
1200 < 1300,detachedBinary,0,0,0,0,0,0,0,6,8,0,0,14
1200 < 1300,t2Cep,0,2,0,0,0,0,0,0,0,7,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,1,0,0,0,0,0,0,0,0,1
12000 < 12100,RRc,0,0,2,8,0,0,0,0,0,2,0,12
12000 < 12100,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
12100 < 12200,RRab,0,0,5,0,0,0,0,0,0,0,0,5
12100 < 12200,RRc,0,0,0,3,0,0,0,0,0,0,0,3
12200 < 12300,RRab,0,0,2,0,0,0,0,0,0,0,0,2
12200 < 12300,RRc,0,0,0,10,1,0,0,0,0,0,0,11
12300 < 12400,RRab,0,0,6,0,0,0,0,0,0,0,0,6
12300 < 12400,RRc,0,0,0,2,0,0,0,0,0,0,0,2
