No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
0 < 100,Mira,2115,14,24,0,3,4123,73,143,476,4193,1553,12717
0 < 100,OSARG,57,155,2,0,18,6317,146,109,144,4089,261,11298
0 < 100,RRab,5,470,204,24,78,2222,3894,1023,1974,1880,47,11821
0 < 100,RRc,2,1400,34,147,88,694,6572,515,1468,701,36,11657
0 < 100,SRV,923,112,40,1,249,4843,354,150,366,4264,874,12176
0 < 100,clasCep,28,11,10,0,15,847,447,45,73,778,145,2399
0 < 100,clasOvertoneCep,16,58,0,13,7,117,715,13,36,231,25,1231
0 < 100,contactBinary,6,936,16,27,64,2748,3770,885,1263,2174,79,11968
0 < 100,detachedBinary,10,741,8,11,26,2266,3798,616,2501,1552,102,11631
0 < 100,t2Cep,105,74,55,111,21,1044,947,360,540,2201,203,5661
0 < 100,t2RVTau,13,3,0,0,5,329,26,7,14,467,106,970
100 < 200,Mira,6828,0,0,0,13,194,3,26,11,260,122,7457
100 < 200,OSARG,3,1611,0,0,208,420,10,79,24,320,4,2679
100 < 200,RRab,0,21,649,138,2,91,115,314,180,166,0,1676
100 < 200,RRc,0,30,55,464,3,21,206,258,208,80,0,1325
100 < 200,SRV,472,286,2,4,2553,700,183,848,1370,2585,277,9280
100 < 200,clasCep,0,0,12,3,0,3024,304,37,27,297,4,3708
100 < 200,clasOvertoneCep,0,1,2,3,0,86,1505,18,5,55,0,1675
100 < 200,contactBinary,0,25,26,27,1,39,97,565,162,109,3,1054
100 < 200,detachedBinary,0,53,5,9,1,24,68,321,501,88,1,1071
100 < 200,t2Cep,7,25,17,73,12,185,202,241,141,2093,24,3020
100 < 200,t2RVTau,0,0,0,0,2,6,0,3,7,30,239,287
1000 < 1100,Mira,56,0,0,0,1,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,54,0,1,8,0,0,0,0,2,0,65
1000 < 1100,RRab,0,0,68,12,0,1,0,0,0,2,0,83
1000 < 1100,RRc,0,0,4,86,0,0,0,2,0,0,0,92
1000 < 1100,SRV,2,4,0,0,44,0,1,0,0,1,1,53
1000 < 1100,contactBinary,0,0,2,0,0,0,0,1,0,0,0,3
1000 < 1100,detachedBinary,0,0,1,0,0,0,0,0,5,0,0,6
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,15,0,15
10100 < 10200,RRab,0,0,0,1,0,0,0,0,0,0,0,1
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,1,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,0,1,0,0,1
10400 < 10500,RRc,0,0,0,3,0,0,0,0,0,0,0,3
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10500 < 10600,contactBinary,0,0,0,0,0,0,0,0,1,0,0,1
10600 < 10700,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,0,1
10900 < 11000,RRab,0,0,3,0,0,0,0,0,0,2,0,5
10900 < 11000,RRc,0,0,0,4,0,0,0,0,0,0,0,4
1100 < 1200,Mira,94,0,0,0,0,0,0,0,0,0,2,96
1100 < 1200,OSARG,0,206,0,0,17,0,0,0,1,1,0,225
1100 < 1200,RRab,0,0,10,5,0,0,0,2,0,0,0,17
1100 < 1200,RRc,0,0,0,16,0,0,0,2,0,0,0,18
1100 < 1200,SRV,6,12,0,1,149,0,0,0,0,5,0,173
1100 < 1200,clasCep,0,0,0,0,0,6,0,0,0,0,0,6
1100 < 1200,contactBinary,0,0,0,4,0,0,0,2,0,0,0,6
1100 < 1200,detachedBinary,0,0,1,1,0,0,0,5,3,0,0,10
1100 < 1200,t2Cep,0,0,3,2,0,0,0,0,0,7,0,12
11000 < 11100,RRab,0,0,1,2,0,0,0,0,0,0,0,3
11000 < 11100,RRc,0,0,0,2,0,0,0,0,0,0,0,2
11100 < 11200,RRab,0,0,1,1,0,0,0,0,0,0,0,2
11100 < 11200,RRc,0,0,0,2,0,0,0,0,0,0,0,2
11200 < 11300,RRab,0,0,6,0,0,0,0,0,0,0,0,6
11200 < 11300,RRc,0,0,0,1,0,0,0,0,0,0,0,1
11300 < 11400,RRc,0,0,1,1,0,0,0,0,0,0,0,2
11400 < 11500,RRc,0,0,0,1,0,0,0,0,0,0,0,1
11500 < 11600,RRab,0,0,0,0,0,0,0,0,0,1,0,1
11600 < 11700,RRab,0,0,1,0,0,0,0,0,0,0,0,1
11600 < 11700,RRc,0,0,0,3,0,0,0,0,0,1,0,4
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,2,1,0,0,0,0,0,1,0,4
11700 < 11800,RRc,0,0,0,4,0,0,0,0,0,1,0,5
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
11800 < 11900,RRab,0,0,1,1,0,0,0,0,0,0,0,2
11800 < 11900,RRc,0,0,0,2,0,0,0,0,0,0,0,2
11900 < 12000,RRab,0,0,4,0,0,0,0,0,0,0,0,4
1200 < 1300,Mira,66,0,0,0,3,0,0,0,0,0,0,69
1200 < 1300,OSARG,0,77,0,1,3,0,0,0,0,0,0,81
1200 < 1300,RRab,0,0,18,5,0,2,0,1,0,2,0,28
1200 < 1300,RRc,0,0,1,17,0,0,0,1,0,1,0,20
1200 < 1300,SRV,0,2,0,0,76,0,0,0,0,0,0,78
1200 < 1300,contactBinary,0,0,0,0,0,0,0,13,3,0,0,16
1200 < 1300,detachedBinary,0,0,0,0,0,0,0,7,7,0,0,14
1200 < 1300,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,1,0,0,0,0,0,0,0,0,1
12000 < 12100,RRc,0,0,2,10,0,0,0,0,0,0,0,12
12000 < 12100,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
