No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
12300 < 12400,RRab,0,0,5,0,0,0,0,0,0,1,0,6
12300 < 12400,RRc,0,0,0,2,0,0,0,0,0,0,0,2
12400 < 12500,RRab,0,0,5,3,0,0,0,0,1,0,0,9
12400 < 12500,RRc,0,0,0,10,0,0,0,0,0,0,0,10
12500 < 12600,RRab,0,0,12,1,0,0,0,0,0,1,0,14
12500 < 12600,RRc,0,0,0,14,0,0,0,0,0,0,0,14
12600 < 12700,RRab,0,0,13,3,0,0,0,0,0,0,0,16
12600 < 12700,RRc,0,0,2,35,0,0,0,0,1,1,0,39
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,81,8,0,0,0,0,0,4,0,93
12700 < 12800,RRc,0,0,5,121,0,0,0,0,0,0,0,126
12700 < 12800,clasCep,0,0,0,0,0,1,0,0,0,2,0,3
12700 < 12800,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
12800 < 12900,RRab,0,0,6,1,0,0,0,0,0,0,0,7
12800 < 12900,contactBinary,0,0,0,0,0,0,0,0,0,1,0,1
12900 < 13000,RRab,0,0,3,2,0,0,0,0,0,0,0,5
12900 < 13000,RRc,0,0,0,6,0,0,0,0,0,0,0,6
1300 < 1400,Mira,639,0,0,0,3,0,0,0,0,0,0,642
1300 < 1400,OSARG,0,679,0,0,108,0,0,0,0,0,1,788
1300 < 1400,RRab,0,0,24,5,0,2,0,0,0,3,0,34
1300 < 1400,RRc,0,0,5,47,0,0,0,0,0,0,0,52
1300 < 1400,SRV,9,27,0,0,721,0,0,0,0,0,0,757
1300 < 1400,clasOvertoneCep,0,0,0,0,0,0,3,0,0,0,0,3
1300 < 1400,contactBinary,0,0,2,1,0,0,0,55,8,3,0,69
1300 < 1400,detachedBinary,0,0,1,1,0,0,0,16,33,0,0,51
1300 < 1400,t2Cep,0,0,2,0,0,0,0,0,0,7,0,9
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,0,5,2,1,0,0,0,0,0,0,8
13000 < 13100,RRc,0,0,2,4,0,0,0,0,0,0,0,6
13100 < 13200,RRab,0,0,9,1,0,0,0,0,0,1,0,11
13100 < 13200,RRc,0,0,2,26,0,0,0,0,0,0,0,28
