No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,8980,540,32,20,4,1931,125,5,207,75,78,84,648,12729
0 < 100,OSARG,544,8695,191,53,6,1133,19,29,126,240,18,87,144,11285
0 < 100,RRab,180,117,5830,1446,185,95,159,52,1336,1757,107,588,103,11955
0 < 100,RRc,110,40,1855,6315,388,49,157,136,1014,1141,173,265,48,11691
0 < 100,RRd,1,3,62,176,138,0,1,0,53,54,9,15,5,517
0 < 100,SRV,4100,1714,78,67,6,3479,694,78,320,187,153,369,858,12103
0 < 100,clasCep,34,12,79,44,8,18,1561,74,57,59,89,331,37,2403
0 < 100,clasOvertoneCep,3,5,41,93,10,9,239,558,48,52,91,70,0,1219
0 < 100,contactBinary,432,98,2188,2121,155,126,199,72,3402,2394,167,598,154,12106
0 < 100,detachedBinary,154,107,934,476,64,118,333,94,1326,7851,168,233,94,11952
0 < 100,dsct,22,24,56,100,12,31,224,174,114,52,368,209,49,1435
0 < 100,t2Cep,67,81,719,322,31,47,171,43,175,213,58,3217,575,5719
0 < 100,t2RVTau,38,79,7,6,0,28,21,0,5,6,2,81,703,976
100 < 200,Mira,5815,27,4,0,0,120,125,1,5,2,6,421,894,7420
100 < 200,OSARG,53,2125,24,10,1,324,22,15,47,38,1,35,4,2699
100 < 200,RRab,9,34,962,124,59,49,1060,97,488,120,3,1653,48,4706
100 < 200,RRc,1,13,363,563,122,12,325,282,1535,97,5,1052,12,4382
100 < 200,RRd,0,0,9,7,95,2,50,8,22,0,0,95,5,293
100 < 200,SRV,408,290,27,28,1,2846,385,259,1472,67,3,3032,542,9360
100 < 200,clasCep,1,0,13,3,0,3,2826,271,33,0,9,376,6,3541
100 < 200,clasOvertoneCep,0,0,0,6,2,0,136,1427,17,0,5,54,0,1647
100 < 200,contactBinary,5,24,200,122,15,5,122,166,2642,131,5,554,12,4003
100 < 200,detachedBinary,18,33,129,97,16,18,81,95,3007,1455,4,465,51,5469
100 < 200,dsct,6,55,23,67,19,11,426,606,2317,34,35,921,17,4537
100 < 200,t2Cep,4,2,43,28,0,2,93,47,58,7,7,2499,14,2804
100 < 200,t2RVTau,0,0,2,0,0,3,0,4,0,0,1,17,238,265
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,80,0,0,0,3,0,0,0,0,0,0,0,83
1000 < 1100,RRab,0,0,61,9,0,0,0,0,2,0,0,2,0,74
1000 < 1100,RRc,0,0,3,82,2,0,0,0,0,0,0,1,0,88
1000 < 1100,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1000 < 1100,SRV,4,0,1,1,0,48,0,0,1,0,0,0,3,58
1000 < 1100,contactBinary,0,0,0,0,0,0,0,0,5,1,0,0,0,6
1000 < 1100,detachedBinary,0,0,0,0,0,0,0,0,0,4,0,0,0,4
1000 < 1100,dsct,0,0,0,0,0,0,0,0,0,0,426,0,0,426
1000 < 1100,t2Cep,0,0,2,0,0,0,0,0,0,0,0,13,0,15
10000 < 10100,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10100 < 10200,RRab,0,0,5,0,0,0,0,0,0,0,0,0,0,5
10200 < 10300,RRc,0,0,0,3,0,0,0,1,0,0,0,0,0,4
10400 < 10500,RRab,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
10400 < 10500,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10500 < 10600,detachedBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10600 < 10700,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,4,0,0,0,0,0,0,0,0,1,0,5
10800 < 10900,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
10900 < 11000,RRc,0,0,0,7,0,0,0,0,0,0,0,0,0,7
1100 < 1200,Mira,95,0,0,0,0,0,0,0,0,0,0,1,0,96
1100 < 1200,OSARG,0,227,0,1,0,19,0,0,1,0,0,1,0,249
1100 < 1200,RRab,0,0,15,1,0,0,0,0,1,1,0,1,0,19
1100 < 1200,RRc,0,0,2,13,0,0,0,1,2,0,0,3,0,21
1100 < 1200,SRV,5,6,0,0,0,158,0,0,1,0,0,6,3,179
1100 < 1200,clasCep,0,0,0,0,0,0,5,0,0,0,0,0,0,5
1100 < 1200,contactBinary,0,0,0,1,0,0,0,0,8,3,0,0,0,12
1100 < 1200,detachedBinary,0,0,0,0,0,0,0,0,4,0,0,0,0,4
1100 < 1200,dsct,0,0,0,0,0,0,0,0,0,2,121,0,0,123
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,1,1,2,0,0,0,0,0,0,0,0,4
11000 < 11100,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11100 < 11200,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11100 < 11200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11200 < 11300,RRab,0,0,5,0,0,0,0,0,0,0,0,0,0,5
11200 < 11300,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11300 < 11400,RRab,0,0,1,0,0,0,0,0,0,1,0,0,0,2
11300 < 11400,RRc,0,0,0,4,0,0,0,0,0,0,0,1,0,5
11400 < 11500,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11400 < 11500,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11500 < 11600,RRab,0,0,1,0,0,0,0,0,0,0,0,1,0,2
11500 < 11600,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
11600 < 11700,RRab,0,0,2,0,0,0,0,0,0,0,0,1,0,3
11600 < 11700,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11700 < 11800,RRc,0,0,1,7,0,0,0,0,0,0,0,0,0,8
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
11800 < 11900,RRab,0,0,5,0,0,0,0,0,0,0,0,0,0,5
11800 < 11900,RRc,0,0,0,2,0,0,0,0,0,0,0,1,0,3
11900 < 12000,RRab,0,0,5,1,0,0,0,0,0,0,0,0,0,6
1200 < 1300,Mira,68,0,1,0,0,0,0,0,0,0,0,0,0,69
1200 < 1300,OSARG,0,75,2,1,1,9,0,0,0,1,0,0,0,89
1200 < 1300,RRab,0,0,11,2,0,0,0,0,1,0,0,1,0,15
1200 < 1300,RRc,0,0,0,6,0,0,0,0,3,0,0,1,0,10
1200 < 1300,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1200 < 1300,SRV,0,1,0,0,0,56,0,0,0,0,0,0,2,59
1200 < 1300,contactBinary,0,0,0,0,0,0,0,0,16,1,0,0,0,17
1200 < 1300,detachedBinary,0,0,0,0,1,1,0,0,4,4,0,0,0,10
1200 < 1300,dsct,0,0,2,0,0,0,0,2,0,0,74,0,0,78
1200 < 1300,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,3,0,0,0,0,0,0,0,0,1,0,4
12000 < 12100,RRc,0,0,0,9,0,0,0,0,2,0,0,0,0,11
12100 < 12200,RRab,0,0,4,1,0,1,0,0,0,0,0,0,0,6
12100 < 12200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
12200 < 12300,RRab,0,0,8,0,1,0,0,0,0,0,0,0,0,9
12200 < 12300,RRc,0,0,0,5,0,1,0,0,0,1,0,0,0,7
12300 < 12400,RRab,0,0,3,0,0,0,0,0,0,0,0,1,0,4
12300 < 12400,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
12400 < 12500,RRab,0,0,2,3,1,0,0,0,0,0,0,0,0,6
12400 < 12500,RRc,0,0,0,9,0,0,0,0,0,0,0,0,0,9
12400 < 12500,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
12500 < 12600,RRab,0,0,9,0,0,0,0,0,0,0,0,0,0,9
12500 < 12600,RRc,0,0,0,18,0,0,0,0,0,0,0,3,0,21
12600 < 12700,RRab,0,0,18,4,0,1,0,0,0,0,0,0,0,23
12600 < 12700,RRc,0,1,1,32,0,0,0,0,0,0,0,2,0,36
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,91,6,2,0,0,0,0,0,0,4,0,103
12700 < 12800,RRc,0,0,5,120,3,1,0,0,0,0,0,0,0,129
12700 < 12800,RRd,0,0,0,0,6,0,0,0,0,0,0,0,0,6
12700 < 12800,clasCep,0,0,1,0,0,0,0,0,0,0,0,2,0,3
12700 < 12800,t2Cep,0,0,1,0,0,0,0,0,0,0,0,11,0,12
12800 < 12900,RRab,0,0,5,0,0,0,0,0,0,0,0,1,0,6
12800 < 12900,contactBinary,0,0,0,0,0,0,0,0,0,0,0,1,0,1
12900 < 13000,RRab,0,0,1,0,0,0,0,0,0,0,0,1,0,2
12900 < 13000,RRc,0,0,0,5,0,0,0,0,0,0,0,0,0,5
1300 < 1400,Mira,638,0,0,0,0,4,0,0,0,0,0,0,0,642
1300 < 1400,OSARG,0,642,1,0,0,82,0,0,0,0,0,0,0,725
1300 < 1400,RRab,0,0,22,8,0,0,0,0,0,0,0,3,0,33
1300 < 1400,RRc,0,1,4,43,0,0,0,0,1,0,0,1,0,50
1300 < 1400,SRV,29,44,0,0,0,715,0,0,0,0,0,1,0,789
