No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
12000 < 12100,RRc,0,0,0,9,0,0,0,1,0,2,0,12
12100 < 12200,RRab,0,0,7,0,0,0,0,0,0,0,0,7
12100 < 12200,RRc,0,0,0,9,0,0,0,0,0,0,0,9
12200 < 12300,RRab,0,0,2,0,0,0,0,0,0,1,0,3
12200 < 12300,RRc,0,0,0,8,0,0,0,0,0,0,0,8
12300 < 12400,RRab,0,0,5,1,0,0,0,0,0,1,1,8
12400 < 12500,RRab,0,0,4,4,0,0,1,0,0,0,0,9
12400 < 12500,RRc,0,0,0,10,0,0,0,0,0,0,0,10
12500 < 12600,RRab,0,0,9,0,0,1,0,0,0,0,0,10
12500 < 12600,RRc,0,0,0,12,1,0,0,0,0,0,0,13
12500 < 12600,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
12600 < 12700,RRab,0,0,15,4,0,0,0,0,0,1,0,20
12600 < 12700,RRc,0,0,1,27,0,0,0,0,0,0,2,30
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,68,19,0,0,0,0,0,1,0,88
12700 < 12800,RRc,0,0,5,136,0,0,0,1,0,0,0,142
12700 < 12800,clasCep,0,0,2,0,0,1,0,0,0,0,0,3
12700 < 12800,t2Cep,0,0,3,0,0,0,0,0,0,9,0,12
12800 < 12900,RRab,0,0,5,0,0,0,0,0,0,1,0,6
12900 < 13000,RRab,0,0,3,1,0,0,0,0,0,1,0,5
12900 < 13000,RRc,0,0,0,0,0,0,0,0,0,2,0,2
1300 < 1400,Mira,629,0,0,0,13,0,0,0,0,0,0,642
1300 < 1400,OSARG,1,711,0,0,91,0,0,0,0,0,0,803
1300 < 1400,RRab,0,0,29,10,0,0,0,0,0,1,0,40
1300 < 1400,RRc,0,0,5,43,0,0,0,0,0,0,0,48
1300 < 1400,SRV,14,43,0,0,672,0,0,1,0,1,0,731
1300 < 1400,clasOvertoneCep,0,0,0,0,0,0,3,0,0,0,0,3
1300 < 1400,contactBinary,0,0,1,6,0,0,0,58,10,0,0,75
1300 < 1400,detachedBinary,0,0,2,2,0,0,0,12,39,1,0,56
1300 < 1400,t2Cep,0,0,0,0,0,0,0,0,0,6,0,6
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,0,2,3,0,0,0,0,0,0,0,5
13000 < 13100,RRc,0,0,4,2,0,0,0,0,0,1,0,7
13100 < 13200,RRab,0,0,7,0,0,0,0,0,1,5,1,14
13100 < 13200,RRc,2,0,1,15,0,0,0,0,0,5,1,24
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,5,0,0,0,0,0,0,0,0,5
13200 < 13300,RRc,0,0,0,0,0,0,0,0,1,0,0,1
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,10,0,0,0,0,0,0,2,0,12
13300 < 13400,RRc,0,0,0,2,0,0,0,0,0,1,0,3
13400 < 13500,RRab,0,0,3,0,0,0,0,0,0,0,0,3
13400 < 13500,RRc,0,0,0,13,0,0,0,0,0,1,0,14
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,3,0,0,0,0,0,0,1,0,4
13500 < 13600,RRc,0,0,1,13,0,0,0,0,0,0,0,14
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,16,2,0,0,0,0,1,0,2,21
13600 < 13700,RRc,0,0,0,19,0,0,0,0,0,1,0,20
13600 < 13700,t2Cep,0,0,1,0,0,0,0,0,0,5,0,6
13700 < 13800,RRab,0,0,40,5,0,0,0,0,0,2,0,47
13700 < 13800,RRc,0,0,5,42,0,0,1,0,0,2,1,51
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,219,38,0,0,0,0,0,8,1,266
13800 < 13900,RRc,0,0,12,248,0,0,0,0,1,0,0,261
13800 < 13900,clasOvertoneCep,0,0,0,0,0,0,3,0,0,0,0,3
13800 < 13900,t2Cep,0,0,0,0,0,0,0,0,0,90,0,90
13800 < 13900,t2RVTau,0,0,0,0,2,0,0,0,0,1,3,6
13900 < 14000,RRab,0,0,2,0,0,0,0,0,0,0,0,2
13900 < 14000,RRc,0,0,0,2,0,0,0,0,0,1,0,3
