No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
1200 < 1300,contactBinary,0,0,0,1,0,0,0,9,3,0,0,0,13
1200 < 1300,detachedBinary,0,0,3,0,0,0,0,2,13,0,0,0,18
1200 < 1300,dsct,0,0,0,0,0,0,0,0,0,78,0,0,78
1200 < 1300,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
12000 < 12100,RRc,0,0,1,7,0,0,0,0,0,0,0,0,8
12100 < 12200,RRab,0,0,6,1,0,0,0,0,0,0,1,0,8
12100 < 12200,RRc,0,0,0,4,2,0,0,0,0,0,0,0,6
12200 < 12300,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
12200 < 12300,RRc,0,0,0,9,0,0,0,0,0,0,2,0,11
12300 < 12400,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
12400 < 12500,RRab,0,0,5,1,0,0,0,0,0,0,0,0,6
12400 < 12500,RRc,0,0,0,12,0,0,0,0,0,0,0,0,12
12500 < 12600,RRab,0,0,12,1,0,0,0,0,0,0,0,0,13
12500 < 12600,RRc,0,0,0,14,0,0,0,0,0,0,0,0,14
12500 < 12600,contactBinary,0,0,0,2,0,0,0,0,0,0,0,0,2
12600 < 12700,RRab,0,0,8,3,0,0,0,0,0,0,0,0,11
12600 < 12700,RRc,0,0,1,34,1,0,0,0,1,0,0,0,37
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,106,12,0,0,0,0,0,0,0,0,118
12700 < 12800,RRc,0,0,1,140,0,0,0,0,0,0,0,0,141
12700 < 12800,clasCep,0,0,0,0,0,0,0,0,0,0,3,0,3
12700 < 12800,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
12800 < 12900,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
12800 < 12900,contactBinary,0,0,0,0,0,0,0,0,0,0,1,0,1
12900 < 13000,RRab,0,0,1,0,0,0,0,0,0,0,0,1,2
12900 < 13000,RRc,0,0,0,6,0,0,0,0,0,0,0,0,6
1300 < 1400,Mira,637,0,0,0,5,0,0,0,0,0,0,0,642
1300 < 1400,OSARG,0,659,0,1,58,0,0,0,0,0,0,0,718
1300 < 1400,RRab,0,0,31,3,0,0,0,0,0,0,0,0,34
1300 < 1400,RRc,0,0,4,42,0,0,0,0,0,0,0,0,46
1300 < 1400,SRV,18,89,0,1,670,0,0,0,0,0,0,0,778
1300 < 1400,clasOvertoneCep,0,0,0,0,0,0,3,0,0,0,0,0,3
1300 < 1400,contactBinary,0,0,3,4,0,0,0,36,10,0,3,0,56
1300 < 1400,detachedBinary,0,0,0,2,0,0,0,15,47,0,0,0,64
1300 < 1400,dsct,0,0,0,0,0,0,0,0,1,50,0,0,51
1300 < 1400,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,0,2,3,0,0,0,0,0,0,0,0,5
13000 < 13100,RRc,0,0,0,6,0,0,0,0,0,0,0,0,6
13100 < 13200,RRab,0,0,18,1,0,0,0,0,0,0,2,1,22
13100 < 13200,RRc,2,0,4,14,0,0,0,0,0,0,1,0,21
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,9,0,0,0,0,0,0,0,0,0,9
13200 < 13300,RRc,0,0,0,4,0,0,0,0,1,0,0,0,5
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
13300 < 13400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
13400 < 13500,RRab,0,0,3,1,0,0,0,0,0,0,0,0,4
13400 < 13500,RRc,0,0,0,11,0,0,0,0,0,0,0,0,11
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,10,0,0,0,0,0,0,0,0,0,10
13500 < 13600,RRc,0,0,0,14,0,0,0,0,0,0,0,0,14
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,22,1,0,0,0,0,0,0,1,0,24
13600 < 13700,RRc,0,0,0,20,0,0,0,0,1,0,0,0,21
13600 < 13700,t2Cep,0,0,2,0,0,0,0,0,0,0,4,0,6
13700 < 13800,RRab,0,0,25,4,0,0,0,0,0,0,0,0,29
13700 < 13800,RRc,0,0,1,49,0,0,0,0,0,0,0,0,50
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,228,27,0,0,0,0,0,0,2,0,257
13800 < 13900,RRc,0,0,10,232,0,0,0,0,2,0,0,0,244
13800 < 13900,clasOvertoneCep,0,0,0,2,0,0,1,0,0,0,0,0,3
13800 < 13900,t2Cep,0,0,0,0,0,0,0,0,0,0,90,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
13900 < 14000,RRab,0,0,1,0,0,0,0,0,0,0,1,0,2
13900 < 14000,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,454,0,0,0,8,0,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,747,0,0,42,0,0,0,0,0,0,0,789
1400 < 1500,RRab,0,0,84,18,0,0,0,0,1,0,5,0,108
1400 < 1500,RRc,0,0,1,131,0,0,0,0,0,0,0,0,132
1400 < 1500,SRV,5,55,0,0,631,0,0,0,0,0,0,0,691
1400 < 1500,contactBinary,0,0,3,9,0,0,0,238,48,0,2,0,300
1400 < 1500,detachedBinary,0,0,5,3,0,0,0,88,263,0,0,0,359
1400 < 1500,dsct,0,0,3,0,0,0,0,0,0,45,0,0,48
1400 < 1500,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
14100 < 14200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
14100 < 14200,RRc,0,0,0,1,0,0,0,0,0,0,2,0,3
14200 < 14300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
14200 < 14300,RRc,0,0,0,6,0,0,0,0,0,0,0,0,6
14200 < 14300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
14300 < 14400,RRab,0,0,5,1,0,0,0,0,0,0,0,1,7
14300 < 14400,RRc,0,0,0,7,0,0,0,0,0,0,2,0,9
14400 < 14500,RRab,0,0,6,0,0,0,0,0,0,0,0,0,6
14400 < 14500,RRc,0,0,0,6,0,0,0,0,0,0,0,0,6
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,4,1,0,0,0,0,0,0,0,0,5
14500 < 14600,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
14600 < 14700,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
14600 < 14700,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14700 < 14800,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
14700 < 14800,RRc,0,0,0,10,0,0,0,0,0,0,0,0,10
14800 < 14900,RRab,0,0,19,3,0,0,0,0,0,0,1,0,23
14800 < 14900,RRc,0,0,1,23,0,0,0,0,0,0,0,0,24
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
14900 < 15000,RRab,0,0,131,7,0,0,0,0,0,0,3,0,141
14900 < 15000,RRc,0,0,4,179,0,0,0,0,0,0,0,0,183
14900 < 15000,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,0,3
14900 < 15000,t2Cep,0,0,0,0,0,0,0,0,0,0,24,0,24
1500 < 1600,Mira,24,0,0,0,0,0,0,0,0,0,0,0,24
1500 < 1600,OSARG,0,18,0,0,2,0,0,0,0,0,0,0,20
1500 < 1600,RRab,0,0,160,24,0,0,0,0,0,0,2,0,186
1500 < 1600,RRc,0,1,2,288,0,0,0,1,3,0,2,0,297
1500 < 1600,SRV,0,2,0,0,10,0,0,0,0,0,0,0,12
1500 < 1600,clasCep,0,0,0,1,0,2,0,0,0,0,0,0,3
1500 < 1600,contactBinary,0,0,1,0,0,0,0,1,0,0,0,0,2
1500 < 1600,detachedBinary,0,0,1,0,0,0,0,0,2,1,0,0,4
1500 < 1600,dsct,0,0,0,0,0,0,0,0,0,36,0,0,36
1500 < 1600,t2Cep,0,0,0,0,0,0,0,0,0,0,42,0,42
1500 < 1600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,9,9
15000 < 15100,RRab,0,0,21,1,0,0,0,0,0,0,0,0,22
15000 < 15100,RRc,0,0,0,13,0,0,0,0,0,0,1,0,14
15000 < 15100,clasOvertoneCep,0,0,0,2,0,0,1,0,0,0,0,0,3
15000 < 15100,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
15000 < 15100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
1600 < 1700,Mira,29,0,0,1,0,0,0,0,0,0,0,0,30
1600 < 1700,OSARG,0,32,0,0,2,0,0,0,0,0,0,0,34
1600 < 1700,RRab,0,0,174,34,0,0,0,3,0,0,5,0,216
1600 < 1700,RRc,0,0,6,204,0,0,0,1,3,0,1,0,215
1600 < 1700,SRV,0,2,0,0,30,0,0,0,0,0,0,0,32
