No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,8967,687,29,6,10,1864,147,2,212,148,97,57,503,12729
0 < 100,OSARG,622,8810,139,48,0,1031,10,20,127,246,25,26,181,11285
0 < 100,RRab,168,133,5207,1367,106,128,189,45,1606,2245,159,484,118,11955
0 < 100,RRc,116,54,1451,6226,206,38,173,109,1453,1383,207,228,47,11691
0 < 100,RRd,8,4,51,211,70,3,15,0,47,61,17,23,7,517
0 < 100,SRV,4147,1935,65,63,11,3421,716,58,279,230,226,210,742,12103
0 < 100,clasCep,43,10,93,32,6,25,1480,49,77,83,110,361,34,2403
0 < 100,clasOvertoneCep,14,7,31,93,7,5,280,452,62,78,101,89,0,1219
0 < 100,contactBinary,528,136,1811,1931,150,108,204,62,3446,2862,160,484,224,12106
0 < 100,detachedBinary,296,143,628,492,44,74,314,72,1381,7990,226,210,82,11952
0 < 100,dsct,50,22,70,112,11,14,216,97,119,97,567,46,14,1435
0 < 100,t2Cep,139,105,755,332,8,62,200,38,315,257,114,2741,653,5719
0 < 100,t2RVTau,64,103,12,5,0,48,32,0,15,1,12,45,639,976
100 < 200,Mira,6653,58,0,0,0,167,32,3,19,0,7,129,352,7420
100 < 200,OSARG,58,2179,13,9,0,298,3,15,42,37,3,29,13,2699
100 < 200,RRab,38,100,859,146,43,167,1021,149,616,201,8,1292,66,4706
100 < 200,RRc,13,16,289,540,102,15,352,230,1936,160,15,702,12,4382
100 < 200,RRd,5,3,7,13,87,13,47,5,38,0,0,72,3,293
100 < 200,SRV,711,327,30,83,2,3019,172,311,1666,108,16,2368,547,9360
100 < 200,clasCep,3,9,16,10,2,1,2676,249,78,4,7,471,15,3541
100 < 200,clasOvertoneCep,0,0,0,13,2,0,89,1368,54,3,7,111,0,1647
100 < 200,contactBinary,15,32,153,125,7,8,91,134,2821,243,8,339,27,4003
100 < 200,detachedBinary,87,64,71,81,6,22,37,105,2814,1853,12,291,26,5469
100 < 200,dsct,17,128,31,75,10,28,342,721,2527,76,43,518,21,4537
100 < 200,t2Cep,14,16,34,27,0,9,104,21,167,19,3,2352,38,2804
100 < 200,t2RVTau,3,2,0,0,0,10,0,0,2,0,5,16,227,265
1000 < 1100,Mira,56,0,0,0,0,0,0,0,0,0,0,0,1,57
1000 < 1100,OSARG,0,78,0,0,0,3,0,0,0,0,2,0,0,83
1000 < 1100,RRab,0,0,63,9,0,0,0,0,0,1,0,1,0,74
1000 < 1100,RRc,0,0,4,81,2,0,0,0,1,0,0,0,0,88
1000 < 1100,RRd,0,0,2,0,1,0,0,0,0,0,0,0,0,3
1000 < 1100,SRV,5,1,0,1,0,49,0,0,1,0,1,0,0,58
1000 < 1100,contactBinary,0,0,0,0,0,0,0,0,3,1,2,0,0,6
1000 < 1100,detachedBinary,0,0,0,0,0,0,0,0,0,4,0,0,0,4
1000 < 1100,dsct,0,0,0,0,0,0,0,0,0,1,425,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,3,0,0,0,0,12,0,15
10000 < 10100,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10100 < 10200,RRab,0,0,3,1,0,0,0,0,0,0,0,1,0,5
10200 < 10300,RRc,0,0,0,3,0,0,0,1,0,0,0,0,0,4
10400 < 10500,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10400 < 10500,RRc,0,0,2,2,0,0,0,0,0,0,0,0,0,4
10400 < 10500,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10500 < 10600,detachedBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10600 < 10700,RRab,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10700 < 10800,RRab,0,0,5,0,0,0,0,0,0,0,0,0,0,5
10800 < 10900,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
