No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,8835,464,33,21,8,1970,149,3,291,70,63,73,721,12701
0 < 100,OSARG,535,8811,207,77,3,1138,27,11,120,214,21,57,125,11346
0 < 100,RRab,141,84,5780,1728,219,113,194,46,1202,1605,128,542,113,11895
0 < 100,RRc,96,44,1625,6671,463,41,188,127,855,1117,163,219,89,11698
0 < 100,RRd,0,2,67,210,86,2,6,0,47,45,12,14,3,494
0 < 100,SRV,3958,1756,92,124,27,3353,781,81,327,132,168,255,973,12027
0 < 100,clasCep,33,11,98,56,6,30,1563,86,49,69,86,316,35,2438
0 < 100,clasOvertoneCep,9,5,44,115,27,10,297,484,22,42,70,58,2,1185
0 < 100,contactBinary,330,130,2430,2459,156,151,275,59,3023,2149,175,501,205,12043
0 < 100,detachedBinary,122,118,906,662,103,125,410,106,1233,7673,242,238,94,12032
0 < 100,dsct,38,23,74,212,11,14,261,197,96,73,330,73,25,1427
0 < 100,t2Cep,46,93,899,431,35,75,275,32,181,207,85,2665,688,5712
0 < 100,t2RVTau,35,92,15,10,0,40,32,0,7,4,12,54,703,1004
100 < 200,Mira,4908,26,2,0,4,130,88,2,0,0,7,368,1984,7519
100 < 200,OSARG,57,2166,23,11,0,246,7,14,40,40,5,27,19,2655
100 < 200,RRab,18,30,886,202,136,37,1228,172,318,101,1,1528,78,4735
100 < 200,RRc,1,3,285,536,221,4,503,407,1276,91,1,1081,18,4427
100 < 200,RRd,2,1,12,14,87,2,59,12,13,2,0,78,6,288
100 < 200,SRV,351,348,20,42,1,2588,377,447,1468,41,5,2998,741,9427
100 < 200,clasCep,0,0,8,12,0,0,2857,321,19,0,4,280,23,3524
100 < 200,clasOvertoneCep,0,0,4,26,3,0,121,1420,18,0,5,43,0,1640
100 < 200,contactBinary,4,11,219,189,22,13,204,265,2269,100,3,675,21,3995
100 < 200,detachedBinary,21,27,124,96,20,17,121,226,2813,1224,3,507,140,5339
100 < 200,dsct,3,27,22,53,10,0,418,827,2267,43,19,806,26,4521
100 < 200,t2Cep,0,5,51,44,0,8,195,86,52,6,2,2360,56,2865
100 < 200,t2RVTau,0,0,3,0,0,3,2,0,0,0,1,15,231,255
1000 < 1100,Mira,55,0,0,0,0,0,0,0,0,0,0,0,2,57
1000 < 1100,OSARG,0,79,0,0,0,4,0,0,0,0,0,1,0,84
1000 < 1100,RRab,0,1,55,24,1,0,1,1,1,0,0,3,0,87
1000 < 1100,RRc,0,1,2,84,3,0,0,0,0,0,0,0,0,90
1000 < 1100,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1000 < 1100,SRV,0,3,1,0,0,63,0,0,0,0,0,2,0,69
1000 < 1100,contactBinary,0,0,0,0,0,0,0,0,5,0,0,1,0,6
1000 < 1100,detachedBinary,0,0,0,0,0,0,0,1,3,2,0,0,0,6
1000 < 1100,dsct,0,0,0,1,0,0,0,2,0,0,423,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,0,0,14,0,14
10000 < 10100,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10100 < 10200,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
10200 < 10300,RRc,0,0,0,2,1,0,0,0,0,0,0,0,0,3
10300 < 10400,RRab,0,0,1,1,0,0,0,0,0,0,0,0,0,2
10300 < 10400,contactBinary,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10400 < 10500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10500 < 10600,contactBinary,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
10800 < 10900,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
10900 < 11000,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,220,0,1,0,22,0,0,0,0,1,0,0,244
1100 < 1200,RRab,0,0,10,1,1,0,0,0,0,0,0,0,0,12
1100 < 1200,RRc,0,0,1,12,0,0,0,0,0,0,0,0,0,13
1100 < 1200,SRV,7,2,1,0,0,172,0,0,0,0,0,6,2,190
1100 < 1200,clasCep,0,0,0,0,0,0,5,0,0,0,0,0,0,5
1100 < 1200,contactBinary,0,0,0,3,0,0,0,0,6,0,0,0,0,9
1100 < 1200,detachedBinary,0,0,1,2,0,0,0,0,9,6,0,0,0,18
1100 < 1200,dsct,0,0,0,0,0,2,1,0,1,0,119,0,0,123
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11000 < 11100,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11100 < 11200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
11100 < 11200,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
11200 < 11300,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
11200 < 11300,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
11300 < 11400,RRab,0,0,2,1,0,0,0,0,0,0,0,0,0,3
11300 < 11400,RRc,0,0,2,3,0,0,0,0,0,0,0,0,0,5
11400 < 11500,RRc,0,0,0,2,0,0,0,0,0,0,0,1,0,3
11500 < 11600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11500 < 11600,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
11600 < 11700,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
