No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,9848,0,5,0,2,159,17,662,196,111,126,1164,12290
0 < 100,OSARG,3609,104,0,0,24,84,13,738,864,270,905,4715,11326
0 < 100,RRab,149,1,232,41,0,301,127,5384,2436,380,2586,157,11794
0 < 100,RRc,91,4,17,162,0,298,253,6240,1599,1394,1464,96,11618
0 < 100,SRV,6724,8,3,0,223,692,105,628,345,232,309,2393,11662
0 < 100,clasCep,25,0,8,4,0,1623,72,82,36,80,334,32,2296
0 < 100,clasOvertoneCep,16,0,0,6,1,247,558,86,41,151,105,4,1215
0 < 100,contactBinary,234,2,20,24,0,205,58,7298,2813,228,944,153,11979
0 < 100,detachedBinary,130,3,6,13,3,322,37,1897,8715,213,215,108,11662
0 < 100,dsct,39,0,0,0,0,152,46,95,61,475,38,23,929
0 < 100,t2Cep,32,0,10,1,0,202,33,625,257,124,3688,670,5642
0 < 100,t2RVTau,43,0,0,0,0,19,0,27,6,8,94,774,971
100 < 200,Mira,1759,0,2,0,13,1,0,14,23,7,9,30,1858
100 < 200,OSARG,292,1549,9,0,228,37,8,158,107,11,86,169,2654
100 < 200,RRab,6,0,612,131,0,37,12,364,260,9,226,7,1664
100 < 200,RRc,1,5,45,493,2,26,33,347,261,25,115,3,1356
100 < 200,SRV,390,124,15,3,2259,15,2,45,41,25,44,89,3052
100 < 200,clasCep,2,0,17,12,0,2127,189,15,1,4,227,4,2598
100 < 200,clasOvertoneCep,0,1,1,13,0,54,1288,4,0,9,62,0,1432
100 < 200,contactBinary,4,0,20,46,0,12,14,564,279,15,81,2,1037
100 < 200,detachedBinary,18,3,9,23,1,11,8,219,770,5,26,4,1097
100 < 200,dsct,0,0,0,0,0,2,0,2,2,53,4,0,63
100 < 200,t2Cep,0,1,5,4,0,52,30,40,26,3,1610,12,1783
100 < 200,t2RVTau,0,0,0,0,0,0,0,0,0,4,1,67,72
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,92,0,0,8,0,0,0,0,0,1,0,101
1000 < 1100,RRab,0,0,69,17,0,0,0,0,0,0,1,0,87
1000 < 1100,RRc,0,1,1,85,0,0,0,0,0,0,1,0,88
1000 < 1100,SRV,1,8,0,0,51,0,0,0,0,0,2,1,63
1000 < 1100,contactBinary,0,0,1,0,0,0,0,2,0,0,0,0,3
1000 < 1100,detachedBinary,0,0,1,1,0,0,0,1,3,0,0,0,6
1000 < 1100,dsct,0,0,0,0,0,0,0,0,0,426,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,0,6,0,6
10000 < 10100,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10100 < 10200,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
10300 < 10400,RRab,0,0,0,1,0,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10600 < 10700,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,249,0,0,27,0,1,0,0,0,0,0,277
1100 < 1200,RRab,0,0,5,6,0,0,0,0,0,0,0,0,11
1100 < 1200,RRc,0,0,1,16,0,0,0,0,0,0,1,0,18
1100 < 1200,SRV,0,4,0,0,168,0,0,0,0,0,0,0,172
1100 < 1200,contactBinary,0,0,1,2,0,0,0,6,0,0,1,0,10
1100 < 1200,detachedBinary,0,0,0,1,0,0,0,2,7,0,0,0,10
1100 < 1200,dsct,0,0,0,0,0,0,0,0,1,122,0,0,123
1100 < 1200,t2Cep,0,0,0,1,0,0,0,0,0,0,11,0,12
11000 < 11100,RRab,0,0,4,1,0,0,0,0,0,0,0,0,5
11000 < 11100,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
11100 < 11200,RRab,0,0,1,1,0,0,0,0,0,0,0,0,2
11100 < 11200,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11200 < 11300,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
11200 < 11300,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11300 < 11400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11400 < 11500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
11500 < 11600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
11500 < 11600,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11600 < 11700,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11600 < 11700,RRc,0,0,1,2,0,0,0,0,0,0,0,0,3
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,5,0,0,0,0,0,0,0,0,0,5
11700 < 11800,RRc,0,0,1,7,0,0,0,0,0,0,0,0,8
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
11800 < 11900,RRab,0,0,1,1,0,0,0,0,0,0,0,0,2
11800 < 11900,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
11900 < 12000,RRab,0,0,5,0,0,0,0,0,0,0,0,0,5
1200 < 1300,Mira,69,0,0,0,0,0,0,0,0,0,0,0,69
1200 < 1300,OSARG,0,63,0,1,6,0,0,0,0,0,0,0,70
1200 < 1300,RRab,0,0,17,5,0,0,0,0,0,0,0,0,22
1200 < 1300,RRc,0,0,0,16,0,0,0,0,0,0,0,0,16
1200 < 1300,SRV,1,2,0,0,65,0,0,0,0,0,0,0,68
1200 < 1300,contactBinary,0,0,0,1,0,0,0,8,4,0,0,0,13
1200 < 1300,detachedBinary,0,0,1,2,0,0,0,2,13,0,0,0,18
1200 < 1300,dsct,0,0,0,0,0,0,0,0,0,78,0,0,78
