No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
12000 < 12100,RRc,0,0,1,10,1,0,0,0,0,0,0,12
12100 < 12200,RRab,0,0,7,0,0,0,0,0,0,0,0,7
12100 < 12200,RRc,0,0,0,8,1,0,0,0,0,0,0,9
12200 < 12300,RRab,0,0,3,0,0,0,0,0,0,0,0,3
12200 < 12300,RRc,0,0,0,7,0,0,0,0,0,1,0,8
12300 < 12400,RRab,0,0,5,2,0,0,0,0,0,0,1,8
12400 < 12500,RRab,0,0,5,3,0,0,0,0,1,0,0,9
12400 < 12500,RRc,0,0,0,10,0,0,0,0,0,0,0,10
12500 < 12600,RRab,0,0,10,0,0,0,0,0,0,0,0,10
12500 < 12600,RRc,0,0,0,13,0,0,0,0,0,0,0,13
12500 < 12600,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
12600 < 12700,RRab,0,0,16,4,0,0,0,0,0,0,0,20
12600 < 12700,RRc,0,0,2,28,0,0,0,0,0,0,0,30
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,71,16,0,0,0,0,0,1,0,88
12700 < 12800,RRc,0,0,1,141,0,0,0,0,0,0,0,142
12700 < 12800,clasCep,0,0,0,2,0,1,0,0,0,0,0,3
12700 < 12800,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
12800 < 12900,RRab,0,0,4,0,0,0,0,0,0,2,0,6
12900 < 13000,RRab,0,0,3,1,0,0,0,0,0,1,0,5
12900 < 13000,RRc,0,0,0,1,1,0,0,0,0,0,0,2
1300 < 1400,Mira,638,0,0,0,4,0,0,0,0,0,0,642
1300 < 1400,OSARG,1,710,0,1,90,0,0,1,0,0,0,803
1300 < 1400,RRab,0,0,33,7,0,0,0,0,0,0,0,40
1300 < 1400,RRc,0,0,7,41,0,0,0,0,0,0,0,48
1300 < 1400,SRV,15,47,0,0,667,0,0,0,1,1,0,731
1300 < 1400,clasOvertoneCep,0,0,3,0,0,0,0,0,0,0,0,3
1300 < 1400,contactBinary,0,0,1,6,0,0,0,42,26,0,0,75
1300 < 1400,detachedBinary,0,0,1,3,0,0,0,6,46,0,0,56
1300 < 1400,t2Cep,0,0,0,0,0,0,0,0,0,6,0,6
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,0,3,1,0,0,0,0,1,0,0,5
13000 < 13100,RRc,0,0,4,3,0,0,0,0,0,0,0,7
13100 < 13200,RRab,0,0,12,0,0,0,0,0,0,2,0,14
13100 < 13200,RRc,0,0,4,18,2,0,0,0,0,0,0,24
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,5,0,0,0,0,0,0,0,0,5
13200 < 13300,RRc,0,0,1,0,0,0,0,0,0,0,0,1
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,11,1,0,0,0,0,0,0,0,12
13300 < 13400,RRc,0,0,1,2,0,0,0,0,0,0,0,3
13400 < 13500,RRab,0,0,1,0,0,0,0,0,0,2,0,3
13400 < 13500,RRc,0,0,2,11,0,0,0,0,0,1,0,14
13400 < 13500,t2Cep,0,0,1,0,0,0,0,0,0,2,0,3
13500 < 13600,RRab,0,0,4,0,0,0,0,0,0,0,0,4
13500 < 13600,RRc,0,0,2,12,0,0,0,0,0,0,0,14
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,18,1,2,0,0,0,0,0,0,21
13600 < 13700,RRc,0,0,0,19,0,0,0,0,0,1,0,20
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,6,0,6
13700 < 13800,RRab,0,0,44,2,0,0,0,0,0,1,0,47
13700 < 13800,RRc,0,0,1,48,0,0,1,0,0,1,0,51
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,232,28,0,0,0,0,0,6,0,266
13800 < 13900,RRc,0,0,13,247,0,0,0,0,1,0,0,261
13800 < 13900,clasOvertoneCep,0,0,0,2,0,0,1,0,0,0,0,3
13800 < 13900,t2Cep,0,0,0,3,0,0,0,0,0,87,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
13900 < 14000,RRab,0,0,2,0,0,0,0,0,0,0,0,2
13900 < 14000,RRc,0,0,0,2,0,0,0,0,0,1,0,3
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,460,0,0,0,2,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,708,0,1,74,0,0,0,0,0,0,783
1400 < 1500,RRab,0,0,96,20,0,0,0,0,1,0,0,117
1400 < 1500,RRc,0,0,1,132,0,0,0,1,0,0,0,134
1400 < 1500,SRV,11,32,0,0,685,0,0,0,0,0,0,728
1400 < 1500,contactBinary,0,0,1,6,0,0,0,164,82,0,0,253
1400 < 1500,detachedBinary,0,1,0,3,0,0,0,57,275,0,0,336
1400 < 1500,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,0,0,3,0,0,0,0,0,0,0,0,3
14100 < 14200,RRab,0,0,2,0,0,0,0,0,0,1,0,3
14100 < 14200,RRc,0,0,0,1,0,0,0,0,0,0,0,1
14200 < 14300,RRab,0,0,1,0,0,0,0,0,0,4,0,5
14200 < 14300,RRc,0,0,1,1,4,0,0,0,0,0,0,6
14200 < 14300,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14300 < 14400,RRab,0,0,4,1,0,0,0,0,0,0,0,5
14300 < 14400,RRc,0,0,0,6,2,0,0,0,0,0,0,8
14400 < 14500,RRab,0,0,5,1,0,0,0,0,0,0,0,6
14400 < 14500,RRc,0,0,0,4,0,0,0,0,0,0,0,4
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,3,1,0,0,0,0,0,0,0,4
14500 < 14600,RRc,0,0,0,3,0,0,0,0,0,0,0,3
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14600 < 14700,RRc,0,0,0,1,0,0,0,1,0,0,0,2
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14700 < 14800,RRab,0,0,5,0,0,0,0,0,0,0,0,5
14700 < 14800,RRc,0,0,0,10,0,0,0,0,0,0,0,10
14800 < 14900,RRab,0,0,14,6,0,0,0,0,0,0,0,20
14800 < 14900,RRc,0,0,1,22,0,0,0,0,0,0,0,23
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14900 < 15000,RRab,0,0,119,13,0,0,0,0,0,3,0,135
14900 < 15000,RRc,0,0,1,154,0,0,0,0,0,0,0,155
14900 < 15000,clasOvertoneCep,0,0,0,0,0,0,3,0,0,0,0,3
14900 < 15000,t2Cep,0,0,0,0,0,0,0,0,0,24,0,24
1500 < 1600,Mira,24,0,0,0,0,0,0,0,0,0,0,24
1500 < 1600,OSARG,0,17,0,1,0,0,1,0,0,0,0,19
1500 < 1600,RRab,0,0,174,34,0,1,0,2,0,0,0,211
1500 < 1600,RRc,0,0,3,297,0,0,0,0,0,0,0,300
1500 < 1600,SRV,0,1,0,0,20,0,0,0,1,0,0,22
1500 < 1600,clasCep,0,0,0,3,0,0,0,0,0,0,0,3
1500 < 1600,contactBinary,0,0,3,0,0,0,0,0,0,0,0,3
1500 < 1600,detachedBinary,0,0,0,1,0,0,0,1,1,0,0,3
1500 < 1600,t2Cep,0,0,0,3,0,0,0,0,0,39,0,42
1500 < 1600,t2RVTau,0,0,0,0,0,0,0,0,0,0,9,9
15000 < 15100,RRab,0,0,30,1,0,0,0,0,0,0,0,31
15000 < 15100,RRc,0,0,0,13,0,0,1,0,0,0,0,14
15000 < 15100,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,3
15000 < 15100,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
15000 < 15100,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
1600 < 1700,Mira,30,0,0,0,0,0,0,0,0,0,0,30
1600 < 1700,OSARG,0,32,1,0,12,0,0,0,2,0,0,47
1600 < 1700,RRab,0,1,191,32,0,1,0,7,1,0,0,233
1600 < 1700,RRc,0,0,5,229,0,0,0,0,2,0,0,236
1600 < 1700,SRV,4,0,0,0,37,0,0,0,0,1,0,42
1600 < 1700,clasOvertoneCep,0,0,0,2,0,0,1,0,3,0,0,6
1600 < 1700,detachedBinary,0,0,0,0,0,0,0,1,0,0,0,1
1600 < 1700,t2Cep,0,0,1,0,0,0,0,1,0,25,0,27
1600 < 1700,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
1700 < 1800,Mira,111,0,0,0,0,0,0,0,0,0,0,111
1700 < 1800,OSARG,1,213,0,0,35,0,0,0,0,0,0,249
1700 < 1800,RRab,0,0,119,17,0,0,1,1,0,1,0,139
1700 < 1800,RRc,0,0,6,175,0,0,0,0,0,0,0,181
1700 < 1800,SRV,8,9,0,0,163,0,0,0,1,0,0,181
1700 < 1800,clasOvertoneCep,0,0,0,3,0,0,6,0,0,0,0,9
1700 < 1800,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,1
1700 < 1800,t2Cep,0,0,0,0,0,0,0,0,0,27,0,27
1700 < 1800,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
1800 < 1900,Mira,18,0,0,0,0,0,0,0,0,0,0,18
1800 < 1900,OSARG,0,50,2,0,6,0,0,0,0,0,0,58
1800 < 1900,RRab,0,0,157,31,0,0,0,0,0,0,0,188
1800 < 1900,RRc,0,0,17,183,0,0,0,1,0,0,0,201
1800 < 1900,SRV,1,2,0,0,29,0,0,0,1,0,1,34
1800 < 1900,clasOvertoneCep,0,0,0,2,0,0,1,0,0,0,0,3
1800 < 1900,t2Cep,0,0,2,3,0,0,0,0,0,28,0,33
1800 < 1900,t2RVTau,0,0,0,0,0,0,0,0,0,0,12,12
1900 < 2000,Mira,13,0,0,0,2,0,0,0,0,0,0,15
1900 < 2000,OSARG,0,13,0,1,2,0,0,1,1,0,0,18
1900 < 2000,RRab,0,0,304,77,0,0,0,0,0,2,0,383
1900 < 2000,RRc,0,0,9,440,0,0,0,0,0,1,0,450
1900 < 2000,SRV,0,1,0,0,6,0,0,0,0,0,0,7
1900 < 2000,clasCep,0,0,2,0,0,7,0,0,0,0,0,9
1900 < 2000,t2Cep,0,0,2,4,0,0,0,2,0,64,0,72
1900 < 2000,t2RVTau,0,0,0,0,0,0,0,0,0,0,24,24
200 < 300,Mira,3582,1,0,0,5,19,0,7,5,78,160,3857
200 < 300,OSARG,0,809,3,1,95,2,6,19,5,4,0,944
200 < 300,RRab,21,19,901,127,27,2898,160,779,26,1303,1,6262
200 < 300,RRc,6,1,347,752,5,1256,362,2866,80,1094,7,6776
200 < 300,SRV,188,209,21,30,1366,130,243,726,149,676,64,3802
200 < 300,clasCep,0,0,1,5,0,512,48,5,0,5,0,576
200 < 300,clasOvertoneCep,0,0,0,3,0,8,365,6,0,1,0,383
200 < 300,contactBinary,2,9,80,139,1,172,224,5774,480,309,3,7193
200 < 300,detachedBinary,9,16,31,18,14,28,56,2091,3452,30,2,5747
200 < 300,t2Cep,0,0,4,9,0,3,0,3,0,306,0,325
200 < 300,t2RVTau,0,0,0,0,0,0,0,0,0,4,38,42
2000 < 2100,Mira,10,0,2,0,3,0,0,0,0,0,0,15
2000 < 2100,OSARG,0,5,0,1,2,0,0,0,0,0,0,8
2000 < 2100,RRab,0,0,59,15,0,0,0,0,0,0,0,74
2000 < 2100,RRc,0,0,6,89,0,0,0,0,0,0,0,95
2000 < 2100,SRV,1,1,0,1,5,0,0,0,0,0,0,8
2000 < 2100,contactBinary,0,0,0,1,0,0,0,1,0,0,0,2
2000 < 2100,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,1
2000 < 2100,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
2000 < 2100,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
2100 < 2200,Mira,29,0,0,0,1,0,0,0,0,0,0,30
2100 < 2200,OSARG,1,8,2,2,0,0,0,0,2,0,0,15
2100 < 2200,RRc,0,0,0,2,0,0,0,0,0,0,0,2
2100 < 2200,SRV,0,0,2,0,4,0,0,0,0,0,0,6
2100 < 2200,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
2100 < 2200,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
2200 < 2300,Mira,20,1,0,0,3,0,0,0,0,0,0,24
2200 < 2300,OSARG,1,14,0,0,3,0,0,0,2,0,0,20
2200 < 2300,RRab,0,0,3,0,0,0,0,0,0,0,0,3
2200 < 2300,RRc,0,0,0,4,0,0,0,0,0,0,0,4
2200 < 2300,SRV,1,3,0,0,2,0,0,0,0,0,0,6
2200 < 2300,detachedBinary,0,0,1,0,0,0,0,0,0,0,0,1
2300 < 2400,Mira,119,10,0,0,18,0,0,0,0,0,0,147
2300 < 2400,OSARG,5,212,0,0,25,0,0,0,0,0,0,242
2300 < 2400,RRab,0,0,2,1,0,0,0,0,0,0,0,3
2300 < 2400,RRc,0,0,0,2,0,0,0,0,0,0,0,2
2300 < 2400,SRV,11,124,0,0,136,0,0,0,0,0,2,273
2300 < 2400,clasCep,0,0,0,0,3,0,0,0,0,0,0,3
2300 < 2400,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,2
2400 < 2500,Mira,6,0,0,0,0,0,0,0,0,0,0,6
2400 < 2500,OSARG,0,8,0,0,1,1,0,0,0,0,0,10
2400 < 2500,RRab,0,0,1,0,0,0,0,0,0,0,0,1
2400 < 2500,RRc,0,0,0,4,0,0,0,0,0,0,0,4
2400 < 2500,SRV,0,0,0,0,5,0,0,0,0,0,0,5
2400 < 2500,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,2
2500 < 2600,Mira,6,0,0,0,0,0,0,0,0,0,0,6
2500 < 2600,OSARG,0,16,0,1,2,0,1,0,0,0,0,20
2500 < 2600,RRab,0,0,2,0,0,0,0,0,0,0,0,2
2500 < 2600,RRc,0,0,1,7,0,0,0,0,0,0,0,8
2500 < 2600,SRV,0,1,0,0,14,0,0,0,0,0,0,15
2500 < 2600,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
2500 < 2600,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,1
2600 < 2700,Mira,24,0,0,0,0,0,0,0,0,0,0,24
2600 < 2700,OSARG,1,38,0,1,4,0,0,0,2,0,0,46
2600 < 2700,RRc,0,0,0,1,0,0,0,0,0,0,0,1
2600 < 2700,SRV,0,1,0,0,19,0,0,0,0,0,0,20
2600 < 2700,contactBinary,0,0,2,0,0,0,0,0,0,0,0,2
2600 < 2700,detachedBinary,0,0,0,1,0,0,0,0,2,0,0,3
2600 < 2700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
2600 < 2700,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
2700 < 2800,Mira,330,0,0,0,0,0,0,0,0,0,0,330
2700 < 2800,OSARG,0,498,0,0,50,0,0,0,0,0,0,548
2700 < 2800,RRc,0,0,0,8,1,0,0,0,0,0,0,9
2700 < 2800,SRV,9,25,0,0,377,0,0,0,0,0,0,411
2700 < 2800,contactBinary,0,0,0,0,0,0,0,1,1,0,0,2
2700 < 2800,detachedBinary,0,0,0,2,0,0,0,0,0,0,0,2
2800 < 2900,Mira,15,0,0,0,0,0,0,0,0,0,0,15
