No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
0 < 100,Mira,9511,392,47,23,1649,147,15,254,62,90,491,12681
0 < 100,OSARG,709,8295,202,141,1246,21,18,98,245,100,240,11315
0 < 100,RRab,199,98,5089,1833,111,246,37,1481,1795,899,118,11906
0 < 100,RRc,111,34,1497,7014,78,227,86,1043,1201,346,63,11700
0 < 100,SRV,4685,1538,97,141,3036,858,147,242,150,314,912,12120
0 < 100,clasCep,35,12,101,82,24,1527,52,57,46,404,42,2382
0 < 100,clasOvertoneCep,16,3,54,168,14,370,445,36,37,80,2,1225
0 < 100,contactBinary,498,87,2090,2663,134,233,64,3106,2165,846,188,12074
0 < 100,detachedBinary,232,135,749,688,96,443,112,1330,7830,387,87,12089
0 < 100,t2Cep,83,56,697,438,67,221,45,161,224,3128,614,5734
0 < 100,t2RVTau,40,30,5,13,37,33,2,9,3,99,686,957
100 < 200,Mira,6767,35,3,0,106,132,6,3,2,202,225,7481
100 < 200,OSARG,72,1982,28,26,323,24,26,36,29,75,17,2638
100 < 200,RRab,49,42,886,209,55,1776,159,267,98,821,54,4416
100 < 200,RRc,3,16,386,640,22,615,255,629,80,1181,4,3831
100 < 200,SRV,703,487,63,113,3310,445,723,990,139,2306,156,9435
100 < 200,clasCep,0,0,15,8,1,2863,176,4,2,356,4,3429
100 < 200,clasOvertoneCep,0,0,1,18,1,273,1239,2,0,70,0,1604
100 < 200,contactBinary,8,24,198,203,14,163,234,1809,130,1152,4,3939
100 < 200,detachedBinary,96,80,109,89,20,58,151,1906,2256,493,7,5265
100 < 200,t2Cep,0,0,42,26,3,107,37,24,4,1951,8,2202
100 < 200,t2RVTau,0,1,0,0,0,4,0,2,0,14,77,98
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,73,0,0,12,0,0,0,0,0,0,85
1000 < 1100,RRab,0,0,79,11,0,1,0,2,0,1,0,94
1000 < 1100,RRc,0,0,5,83,0,0,0,1,2,0,0,91
1000 < 1100,SRV,1,1,0,0,58,0,2,0,0,1,1,64
1000 < 1100,contactBinary,0,0,3,0,0,0,0,3,0,0,0,6
1000 < 1100,detachedBinary,0,0,0,0,0,0,0,3,6,0,0,9
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
10000 < 10100,RRab,0,0,1,1,0,0,0,0,0,0,0,2
10100 < 10200,RRab,0,0,0,2,0,0,0,0,0,0,0,2
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,3,0,0,0,0,0,0,0,3
10300 < 10400,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10400 < 10500,RRc,0,0,1,3,0,0,0,0,0,0,0,4
10600 < 10700,RRab,0,0,2,0,0,0,0,0,0,0,0,2
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,2
10800 < 10900,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,6,0,0,0,0,0,0,0,6
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,222,0,0,25,0,0,0,1,0,0,248
