No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
0 < 100,Mira,9743,549,15,20,1542,103,23,262,81,47,296,12681
0 < 100,OSARG,655,8873,181,57,1035,7,12,146,225,45,79,11315
0 < 100,RRab,180,131,5496,1815,95,247,35,1688,1670,482,67,11906
0 < 100,RRc,117,41,1354,7080,54,211,99,1244,1210,253,37,11700
0 < 100,SRV,4732,1842,69,84,3259,684,185,316,139,300,510,12120
0 < 100,clasCep,23,14,59,63,25,1659,95,71,48,297,28,2382
0 < 100,clasOvertoneCep,19,3,21,144,4,285,600,37,36,76,0,1225
0 < 100,contactBinary,475,124,1694,2316,118,182,47,4213,2275,535,95,12074
0 < 100,detachedBinary,189,172,698,438,78,376,118,1547,8206,217,50,12089
0 < 100,t2Cep,42,83,673,402,40,200,54,238,197,3312,493,5734
0 < 100,t2RVTau,42,44,8,13,45,23,3,2,5,128,644,957
100 < 200,Mira,6688,34,2,0,117,103,3,14,4,294,222,7481
100 < 200,OSARG,60,2092,19,10,327,13,13,44,34,24,2,2638
100 < 200,RRab,42,93,897,271,67,1574,173,313,145,820,21,4416
100 < 200,RRc,8,19,212,764,15,473,220,1185,128,804,3,3831
100 < 200,SRV,651,330,35,62,3167,438,552,1484,117,2474,125,9435
100 < 200,clasCep,0,4,8,8,0,2856,262,14,0,274,3,3429
100 < 200,clasOvertoneCep,0,0,2,26,0,116,1408,5,0,45,2,1604
100 < 200,contactBinary,17,29,146,163,5,168,164,2439,221,585,2,3939
100 < 200,detachedBinary,96,19,103,108,19,75,89,2201,2328,225,2,5265
100 < 200,t2Cep,0,9,24,28,6,54,24,21,9,2020,7,2202
100 < 200,t2RVTau,0,4,0,0,0,0,0,0,1,6,87,98
1000 < 1100,Mira,56,0,0,0,1,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,77,0,0,8,0,0,0,0,0,0,85
1000 < 1100,RRab,0,0,75,14,0,1,0,2,0,2,0,94
1000 < 1100,RRc,0,1,4,85,0,0,0,1,0,0,0,91
1000 < 1100,SRV,1,6,0,0,57,0,0,0,0,0,0,64
1000 < 1100,contactBinary,0,0,1,0,0,0,0,3,2,0,0,6
1000 < 1100,detachedBinary,0,0,1,0,0,0,0,1,7,0,0,9
1000 < 1100,t2Cep,0,0,0,2,0,0,0,0,0,7,0,9
10000 < 10100,RRab,0,0,2,0,0,0,0,0,0,0,0,2
10100 < 10200,RRab,0,0,1,1,0,0,0,0,0,0,0,2
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,3,0,0,0,0,0,0,0,3
