No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
12000 < 12100,RRab,0,0,5,0,0,0,0,0,0,1,1,7
12000 < 12100,RRc,0,0,0,6,0,0,0,0,0,1,0,7
12000 < 12100,contactBinary,0,0,0,2,0,0,0,0,0,0,0,2
12100 < 12200,RRab,0,0,5,0,0,0,0,0,0,0,0,5
12100 < 12200,RRc,0,0,0,6,0,0,0,0,0,0,0,6
12200 < 12300,RRab,0,0,3,0,0,0,0,0,0,0,0,3
12200 < 12300,RRc,0,0,0,8,0,0,0,0,0,2,0,10
12300 < 12400,RRab,0,0,4,1,0,0,0,0,0,0,0,5
12300 < 12400,RRc,0,0,0,3,0,0,0,0,0,0,0,3
12400 < 12500,RRab,0,0,3,1,0,0,0,0,0,1,0,5
12400 < 12500,RRc,0,0,0,10,0,0,0,0,0,0,0,10
12500 < 12600,RRab,0,0,11,0,0,0,0,0,0,3,1,15
12500 < 12600,RRc,0,0,0,12,0,0,0,0,0,1,0,13
12600 < 12700,RRab,0,0,20,3,0,0,0,0,0,0,0,23
12600 < 12700,RRc,0,0,0,30,0,0,0,0,0,0,0,30
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,110,8,0,0,0,0,0,4,0,122
12700 < 12800,RRc,0,0,6,112,0,0,0,0,0,0,0,118
12700 < 12800,clasCep,0,0,2,0,0,1,0,0,0,0,0,3
12700 < 12800,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
12800 < 12900,RRab,0,0,1,0,0,0,0,0,0,0,0,1
12800 < 12900,contactBinary,0,0,0,0,0,0,0,0,0,1,0,1
12900 < 13000,RRab,0,0,4,0,0,0,0,0,0,0,0,4
12900 < 13000,RRc,0,0,0,2,0,0,0,0,0,0,0,2
1300 < 1400,Mira,636,0,0,0,6,0,0,0,0,0,0,642
1300 < 1400,OSARG,0,702,0,0,71,0,0,0,0,0,0,773
1300 < 1400,RRab,0,0,28,10,0,0,0,0,0,3,0,41
1300 < 1400,RRc,0,0,3,48,0,0,0,0,0,0,0,51
1300 < 1400,SRV,21,72,0,1,698,0,0,0,0,0,0,792
1300 < 1400,clasOvertoneCep,0,0,0,0,0,0,0,0,0,3,0,3
1300 < 1400,contactBinary,0,0,3,6,0,0,0,33,4,3,0,49
1300 < 1400,detachedBinary,0,1,2,7,0,0,0,16,35,1,0,62
1300 < 1400,t2Cep,0,0,0,0,0,3,0,0,0,3,3,9
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,0,2,4,0,0,0,0,0,0,0,6
13000 < 13100,RRc,0,0,2,8,0,0,0,0,0,1,0,11
13100 < 13200,RRab,0,0,9,2,0,0,0,0,0,4,0,15
13100 < 13200,RRc,0,0,3,18,0,0,0,0,0,2,0,23
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,8,0,0,0,0,0,0,0,0,8
13200 < 13300,RRc,0,0,1,3,0,0,0,0,1,1,0,6
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,7,0,0,0,0,0,0,1,0,8
13300 < 13400,RRc,0,0,0,0,0,0,0,0,0,1,0,1
13400 < 13500,RRab,0,0,0,0,0,0,0,0,0,1,0,1
13400 < 13500,RRc,0,0,3,7,0,0,0,0,0,0,0,10
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,3,1,0,0,0,0,0,0,0,4
13500 < 13600,RRc,0,0,1,9,2,0,0,0,0,0,0,12
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,17,1,0,0,0,0,0,0,0,18
13600 < 13700,RRc,0,0,0,13,0,0,0,0,0,0,0,13
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,6,0,6
13700 < 13800,RRab,0,0,38,2,0,0,0,0,0,0,1,41
13700 < 13800,RRc,0,0,1,34,0,0,0,0,0,3,0,38
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,221,31,0,0,0,3,0,3,2,260
13800 < 13900,RRc,0,0,19,220,0,0,0,0,2,1,0,242
13800 < 13900,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,3
13800 < 13900,t2Cep,0,0,2,0,0,0,0,0,0,88,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,1,5,6
13900 < 14000,RRab,0,0,2,0,0,0,0,0,0,0,0,2
13900 < 14000,RRc,0,0,0,1,0,0,0,0,0,2,0,3
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,461,0,0,0,1,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,789,0,0,63,0,0,0,0,0,0,852
1400 < 1500,RRab,0,0,91,16,0,0,0,0,1,1,0,109
1400 < 1500,RRc,0,0,1,116,0,0,0,0,0,1,0,118
1400 < 1500,SRV,11,45,0,0,659,0,0,0,0,0,0,715
1400 < 1500,contactBinary,0,0,3,15,0,0,0,249,31,1,0,299
1400 < 1500,detachedBinary,0,1,0,4,0,0,0,111,208,0,0,324
1400 < 1500,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,0,0,3,0,0,0,0,0,0,0,0,3
14000 < 14100,RRc,0,0,0,1,0,0,0,0,0,0,0,1
14100 < 14200,RRab,0,0,1,0,0,0,0,0,0,0,1,2
14100 < 14200,RRc,0,0,0,0,0,0,0,0,0,2,0,2
14200 < 14300,RRab,0,0,4,0,0,0,0,0,0,1,0,5
14200 < 14300,RRc,0,0,0,4,0,0,0,0,0,2,0,6
14200 < 14300,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14300 < 14400,RRab,0,0,3,0,0,0,0,0,0,1,0,4
14300 < 14400,RRc,0,0,0,4,1,0,0,0,0,2,0,7
14400 < 14500,RRab,0,0,2,1,0,0,0,0,0,1,0,4
14400 < 14500,RRc,0,0,0,4,0,0,0,0,0,0,0,4
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,3,0,0,0,0,0,0,1,0,4
14500 < 14600,RRc,0,0,0,2,0,0,0,0,0,0,0,2
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14600 < 14700,RRab,0,0,6,1,0,0,0,0,0,0,0,7
14600 < 14700,RRc,0,0,0,3,0,0,0,0,0,0,0,3
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14700 < 14800,RRab,0,0,2,0,0,0,0,0,0,0,0,2
14700 < 14800,RRc,0,0,0,11,0,0,0,0,0,0,0,11
14800 < 14900,RRab,0,0,31,2,0,0,0,0,0,2,0,35
14800 < 14900,RRc,0,0,1,25,0,0,0,0,0,1,0,27
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14900 < 15000,RRab,0,0,125,8,0,0,0,0,0,15,0,148
14900 < 15000,RRc,0,0,2,155,0,0,0,0,0,4,0,161
14900 < 15000,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,3
14900 < 15000,t2Cep,0,0,0,0,0,0,0,0,0,24,0,24
1500 < 1600,Mira,24,0,0,0,0,0,0,0,0,0,0,24
1500 < 1600,OSARG,0,18,0,0,1,0,0,0,0,0,0,19
1500 < 1600,RRab,0,1,178,38,0,1,0,1,0,1,0,220
1500 < 1600,RRc,0,0,3,281,0,0,0,1,2,0,0,287
1500 < 1600,SRV,1,5,0,0,15,0,0,0,0,0,0,21
1500 < 1600,clasCep,0,0,0,3,0,0,0,0,0,0,0,3
1500 < 1600,contactBinary,0,0,1,0,0,0,0,1,0,0,0,2
1500 < 1600,detachedBinary,0,0,0,2,0,0,0,0,1,0,0,3
1500 < 1600,t2Cep,0,0,2,0,0,0,0,0,0,39,1,42
1500 < 1600,t2RVTau,0,0,0,0,0,0,0,0,0,0,9,9
15000 < 15100,RRab,0,0,19,1,0,0,0,0,0,0,0,20
15000 < 15100,RRc,0,0,0,10,0,0,0,0,0,0,0,10
15000 < 15100,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,3
15000 < 15100,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
15000 < 15100,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
1600 < 1700,Mira,29,0,0,1,0,0,0,0,0,0,0,30
1600 < 1700,OSARG,0,58,0,1,4,0,0,0,0,0,0,63
1600 < 1700,RRab,0,0,162,36,0,0,0,4,1,2,0,205
1600 < 1700,RRc,0,0,1,211,0,0,0,3,1,2,0,218
1600 < 1700,SRV,1,0,0,0,29,0,0,0,0,1,1,32
1600 < 1700,clasOvertoneCep,0,0,0,0,0,0,4,2,0,0,0,6
1600 < 1700,t2Cep,0,0,2,0,0,0,0,0,0,25,0,27
1600 < 1700,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
1700 < 1800,Mira,109,0,0,2,0,0,0,0,0,0,0,111
1700 < 1800,OSARG,0,217,0,0,20,0,0,0,0,0,0,237
1700 < 1800,RRab,0,0,117,25,0,0,0,0,0,11,0,153
1700 < 1800,RRc,0,0,5,155,0,0,0,0,0,1,0,161
1700 < 1800,SRV,3,12,0,0,179,0,0,0,0,0,0,194
1700 < 1800,clasOvertoneCep,0,0,0,9,0,0,0,0,0,0,0,9
1700 < 1800,detachedBinary,0,0,1,1,0,0,0,0,1,0,0,3
1700 < 1800,t2Cep,0,0,0,0,0,0,0,0,0,27,0,27
1700 < 1800,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
1800 < 1900,Mira,18,0,0,0,0,0,0,0,0,0,0,18
1800 < 1900,OSARG,0,57,0,1,11,0,0,0,0,0,0,69
1800 < 1900,RRab,0,0,148,55,0,0,0,0,0,2,0,205
1800 < 1900,RRc,0,0,10,182,0,0,0,0,1,1,0,194
1800 < 1900,SRV,2,5,0,0,31,0,0,0,0,0,1,39
1800 < 1900,clasOvertoneCep,0,0,0,2,0,0,1,0,0,0,0,3
1800 < 1900,detachedBinary,0,0,0,1,0,0,0,1,0,0,0,2
1800 < 1900,t2Cep,0,0,0,3,0,0,0,0,0,30,0,33
1800 < 1900,t2RVTau,0,0,0,0,0,0,0,0,0,0,12,12
1900 < 2000,Mira,11,0,0,0,2,0,0,0,0,2,0,15
1900 < 2000,OSARG,0,9,0,0,0,0,0,0,0,0,0,9
