# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
#
# Results of Query: Database VVVDR4 06/02/20 23:15
# select viva.vivaID,viva.ra,viva.dec,viva.freqSTR,viva.freqPDM,
# viva.freqLSG,(v.ksMaxMag-v.ksMinMag) as ksAmpl,s.jmhPnt,viva.kFi2,
# viva.faPcorrelation2,CASE WHEN (s.ksAperMag3>0 and s.jAperMag3>0 and 
# s.ksAperMag3<25 and s.jAperMag3<25) THEN (s.ksAperMag3 - 
# 0.686*(s.jAperMag3-s.ksAperMag3)) ELSE -9.9999999e8 END as wesenheit,
# s.jAperMag3,s.ksAperMag3,flagNfreq,flagFbias6,flagFbias7, u.upload_RA,
#  u.upload_Dec, u.varType from vvvVivaCatalogue as viva,vvvVariability 
# as v,vvvSource as s,#userTable as u  where v.sourceID=viva.vivaID and 
# v.ksMinMag>0. and v.ksnGoodObs>40 and viva.faPcorrelation2 > 0 and 
# s.sourceID=v.sourceID and v.sourceID=u.sourceID
# Column Headers at start of file AND below
#
# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
        515495010378,    +270.2445914,     -26.8108375,     +29.9046217,      +0.9974154,      +0.9976864,     +2.153223, -9.999995E008,      +0.7777780,      +0.7621320,  -9.9999999E008, -9.999995E008,    +11.580949,     2,     1,     1,    +270.2446250,     -26.8108100,OSARG
        515495030766,    +270.6927472,     -26.9907668,     +29.3423778,     +20.4163818,     +13.3643519,     +0.718560,     +0.358253,      +1.0000000,      +0.9174230,     +10.3584423,    +12.070434,    +11.055017,     4,    28,     2,    +270.6927500,     -26.9907800,OSARG
        515495565416,    +270.0958716,     -27.1891217,     +12.0062958,      +2.0234386,     +28.0006995,     +1.532596, -9.999995E008,      +1.0000000,      +0.9174230,      +9.3875990,    +11.278143,    +10.156824,     3,  4260,  3924,    +270.0958750,     -27.1891400,OSARG
        515495665624,    +270.2318685,     -26.9654772,     +29.9898838,     +17.3252805,     +21.9721679,     +0.866612,     +0.539318,      +0.8333330,      +0.8098080,      +9.7378130,    +11.666830,    +10.522692,     1,   672,   141,    +270.2318750,     -26.9654700,OSARG
        515504251382,    +271.3739973,     -27.6508990,      +2.9582866,      +3.4724337,     +29.9332410,     +0.580376, -9.999995E008,      +1.0000000,      +0.8346050,  -9.9999999E008, -9.999995E008,    +10.690474,     1,-25783,   852,    +271.3741250,     -27.6509200,OSARG
        515504552913,    +271.2538626,     -26.9560588,     +17.8053710,      +0.5027506,     +19.7466392,     +0.485814,     +0.497592,      +0.8604650,      +0.6872490,     +10.8825903,    +12.564317,    +11.566852,     1,    48,    12,    +271.2538750,     -26.9560600,OSARG
        515504627313,    +272.0295158,     -27.1645797,      +0.3081074,     +15.4963507,      +1.0020596,     +0.619776,     +0.343673,      +1.0000000,      +0.9174230,     +10.4238195,    +12.076133,    +11.096113,     1,     9,     2,    +272.0295000,     -27.1645800,OSARG
        515504708957,    +271.5257364,     -26.7322874,     +16.8284123,     +16.3179077,     +16.3181265,     +0.972146,     +0.322772,      +1.0000000,      +0.8901680,     +10.2731009,    +11.837278,    +10.909534,     3,   334,    47,    +271.5257500,     -26.7323100,OSARG
        515504818493,    +271.6059962,     -26.5163716,     +15.2353691,     +15.6932074,     +29.9353164,     +1.111143,     +0.287320,      +0.8421050,      +0.6959990,      +9.5899744,    +11.295861,    +10.284066,     5,-25034,-27153,    +271.6060000,     -26.5163600,OSARG
        515504827035,    +271.7463857,     -26.5641206,     +14.2350064,      +6.2985719,      +7.3008503,     +0.432065,     +0.455528,      +1.0000000,      +0.8681980,      +9.9955692,    +11.638315,    +10.663970,     2,    28,     1,    +271.7463750,     -26.5641400,OSARG
