#cflvsc.sourceID, cflvsc.ksAperMag3, cflvsc.ksEMeanMagPawprint, cflvsc.MainVarType
515668262584,-999.0,10.925791,  LPV
515668262587,-999.0,10.649047,  LPV
515650017619,-999.0,13.062663,  Microlens
515669056356,-999.0,10.057628,  M
515609719568,-999.0,15.590738,  Microlens
515610587008,-999.0,13.787226,  Microlens
515588116468,-999.0,11.865912,  RGB
515588230098,-999.0,11.9417,  RGB
515588271471,-999.0,11.588403,  RGB
515588274015,-999.0,11.806247,  RGB
515588281827,-999.0,11.902827,  RGB
515588306257,-999.0,11.694792,  RGB
515588346469,-999.0,11.754428,  RGB
515588350921,-999.0,11.681606,  RGB
515588371925,-999.0,11.867600999999999,  RGB
515588416054,-999.0,11.778685000000001,  Microlens
515588420803,-999.0,14.921923000000001,  Microlens
515588429295,-999.0,11.795142,  RGB
515588438606,-999.0,11.94864,  RGB
515588512855,-999.0,11.548235,  RGB
515588520738,-999.0,11.617761999999999,  RGB
515588561591,-999.0,12.011833,  RGB
515588563631,-999.0,12.065648,  RGB
515588648395,-999.0,11.623688000000001,  RGB
515588711808,-999.0,11.631617,  RGB
515588836364,-999.0,12.152114,  RGB
515588984398,-999.0,11.810163000000001,  RGB
515588996727,-999.0,12.116239,  RGB
515589008845,-999.0,11.065389999999999,  RGB
515589119999,-999.0,16.877976999999998,  ISM
515589140064,-999.0,11.026182,  LPV
515566801529,-999.0,11.751324,  RGB
515566822129,-999.0,11.629456,  RGB
515566833033,-999.0,11.20003,  RGB
515566970556,-999.0,11.720965,  RGB
515566987321,-999.0,10.520156,  LPV
515567018569,-999.0,11.594114999999999,  RGB
515567024870,-999.0,11.938481,  RGB
515567062799,-999.0,11.624998,  RGB
515567075034,-999.0,11.645763,  RGB
515567101327,-999.0,11.87382,  RGB
515567208935,-999.0,11.614394,  RGB
515567228379,-999.0,11.471364,  RGB
515545409849,-999.0,10.725862,  RGB
515545484604,-999.0,11.419575,  RGB
515545489909,-999.0,10.599677999999999,  RGB
515545710929,-999.0,10.702383,  RGB
515545735759,-999.0,10.903573,  RGB
515545802390,-999.0,10.547094,  RGB
515545826575,-999.0,10.234839,  RGB
515546046838,-999.0,10.722533,  RGB
515546076399,-999.0,10.575884,  RGB
515523102307,-999.0,10.617761,  RGB
515523216970,-999.0,10.950624000000001,  RGB
515475807185,-999.0,10.867075999999999,  LPV
515454186141,-999.0,10.880864,  RGB
515454198593,-999.0,10.365648,  RGB
515454198637,-999.0,10.414987,  RGB
515454198656,-999.0,10.180995,  RGB
515454201717,-999.0,10.456146,  RGB
515455328451,-999.0,10.411575,  RGB
515678105270,-999.0,10.397596,  LPV
515678131775,-999.0,10.261363000000001,  LPV
515658746177,-999.0,10.857296,  LPV
515658845979,-999.0,10.286533,  LPV
515658857076,-999.0,11.028887,  LPV
515658989422,-999.0,10.137003,  LPV
515659138111,-999.0,11.075777,  LPV
515659704335,-999.0,14.878531,  Microlens
515642194404,-999.0,12.237153999999999,  Microlens
515621360328,-999.0,12.588275,  Microlens
515621662795,-999.0,13.89533,  Microlens
515599688586,-999.0,14.8349,  Microlens
515599921697,-999.0,14.359845000000002,  Microlens
515599982391,-999.0,11.340401,  Microlens
515599999944,-999.0,12.114036,  Microlens
515578950191,-999.0,11.808755,  RGB
515578964811,-999.0,12.693978,  Microlens
515579075316,-999.0,11.726421,  RGB
515579102551,-999.0,11.960721000000001,  RGB
515579226753,-999.0,12.059923,  RGB
515579270459,-999.0,11.930987,  RGB
515579399365,-999.0,11.755027,  RGB
515579453388,-999.0,11.574593,  RGB
515579463216,-999.0,12.403928,  RGB
515579482098,-999.0,12.874379,  RGB
515557536353,-999.0,12.710059,  RGB
515557670607,-999.0,13.525325,  Microlens
515557683713,-999.0,12.164247999999999,  RGB
515557825133,-999.0,12.042508,  RGB
515557829989,-999.0,11.678721000000001,  RGB
515557839224,-999.0,11.531941999999999,  RGB
