No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,10365,0,8,0,1,193,22,509,100,101,129,862,12290
0 < 100,OSARG,4705,109,8,1,20,131,17,679,805,182,910,3759,11326
0 < 100,RRab,185,5,257,47,0,288,148,5376,2237,322,2805,124,11794
0 < 100,RRc,130,0,37,163,2,370,618,6282,1393,885,1653,85,11618
0 < 100,SRV,7376,15,2,1,220,750,136,512,257,212,306,1875,11662
0 < 100,clasCep,38,0,15,5,0,1598,45,100,50,67,342,36,2296
0 < 100,clasOvertoneCep,17,1,0,2,2,291,567,102,45,93,92,3,1215
0 < 100,contactBinary,381,1,24,38,0,250,88,7213,2374,208,1274,128,11979
0 < 100,detachedBinary,204,2,15,18,1,377,57,2151,8165,219,342,111,11662
0 < 100,dsct,41,0,0,0,0,219,66,84,61,380,60,18,929
0 < 100,t2Cep,37,2,6,6,0,228,44,505,203,86,3869,656,5642
0 < 100,t2RVTau,31,0,0,0,0,21,0,23,4,7,107,778,971
100 < 200,Mira,1807,0,7,0,11,3,0,0,1,10,7,12,1858
100 < 200,OSARG,395,1585,59,2,191,52,7,93,56,24,62,128,2654
100 < 200,RRab,18,1,665,152,1,48,24,318,203,20,203,11,1664
100 < 200,RRc,4,4,40,551,3,19,75,294,167,54,141,4,1356
100 < 200,SRV,442,160,41,2,2223,30,4,15,7,21,31,76,3052
100 < 200,clasCep,2,0,28,4,0,2173,175,4,0,6,201,5,2598
100 < 200,clasOvertoneCep,2,0,2,12,0,92,1282,2,4,3,33,0,1432
100 < 200,contactBinary,5,3,58,65,0,25,15,567,190,23,83,3,1037
100 < 200,detachedBinary,17,4,26,30,5,17,8,247,694,15,33,1,1097
100 < 200,dsct,0,2,0,0,0,4,3,6,2,43,1,2,63
100 < 200,t2Cep,1,0,9,11,1,52,45,25,23,4,1601,11,1783
100 < 200,t2RVTau,0,0,0,0,0,0,0,0,0,1,2,69,72
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,94,0,0,6,0,0,0,0,0,1,0,101
1000 < 1100,RRab,0,0,64,21,0,0,0,0,0,0,2,0,87
1000 < 1100,RRc,0,0,3,84,0,0,0,0,0,1,0,0,88
1000 < 1100,SRV,1,4,0,0,58,0,0,0,0,0,0,0,63
1000 < 1100,contactBinary,0,0,0,0,0,0,0,2,1,0,0,0,3
1000 < 1100,detachedBinary,0,0,1,1,0,0,0,1,2,1,0,0,6
1000 < 1100,dsct,0,0,0,0,0,0,0,0,0,426,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,0,6,0,6
10000 < 10100,RRab,0,0,1,0,0,0,0,0,0,0,0,1,2
10100 < 10200,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
10300 < 10400,RRab,0,0,0,1,0,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10600 < 10700,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,3,0,0,0,0,0,0,1,0,4
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,258,0,0,17,0,2,0,0,0,0,0,277
1100 < 1200,RRab,0,0,5,5,0,0,0,0,1,0,0,0,11
1100 < 1200,RRc,0,0,0,17,0,0,1,0,0,0,0,0,18
1100 < 1200,SRV,2,9,0,0,161,0,0,0,0,0,0,0,172
1100 < 1200,contactBinary,0,0,1,3,0,0,0,6,0,0,0,0,10
1100 < 1200,detachedBinary,0,0,3,0,0,0,0,0,7,0,0,0,10
1100 < 1200,dsct,0,0,0,0,0,0,0,0,0,123,0,0,123
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,4,1,0,0,0,0,0,0,0,0,5
11000 < 11100,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
11100 < 11200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11100 < 11200,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11200 < 11300,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
11200 < 11300,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11300 < 11400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11400 < 11500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
11500 < 11600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
11500 < 11600,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11600 < 11700,RRab,0,0,1,0,0,0,0,0,0,0,1,0,2
11600 < 11700,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,5,0,0,0,0,0,0,0,0,0,5
11700 < 11800,RRc,0,0,1,6,0,0,0,0,0,0,1,0,8
