No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,9808,0,1,0,0,128,18,652,160,113,170,1240,12290
0 < 100,OSARG,3503,111,1,1,20,83,19,571,632,150,1556,4679,11326
0 < 100,RRab,153,2,206,42,9,250,200,5212,2260,363,2929,168,11794
0 < 100,RRc,112,14,19,165,5,236,676,5881,1516,1288,1621,85,11618
0 < 100,SRV,6457,17,4,0,230,638,84,638,340,277,421,2556,11662
0 < 100,clasCep,16,0,3,8,0,1671,63,77,46,87,277,48,2296
0 < 100,clasOvertoneCep,13,3,0,12,2,235,649,81,43,101,71,5,1215
0 < 100,contactBinary,244,5,18,39,6,175,107,7170,2620,254,1148,193,11979
0 < 100,detachedBinary,137,9,18,17,2,318,44,2057,8398,253,294,115,11662
0 < 100,dsct,28,0,0,0,0,170,49,63,61,472,59,27,929
0 < 100,t2Cep,28,0,7,3,0,165,33,481,204,137,3978,606,5642
0 < 100,t2RVTau,23,0,0,0,0,13,3,22,0,9,118,783,971
100 < 200,Mira,1756,0,7,0,8,9,0,14,15,14,8,27,1858
100 < 200,OSARG,291,1578,30,1,203,22,6,151,61,27,117,167,2654
100 < 200,RRab,11,2,626,125,3,30,19,338,214,23,257,16,1664
100 < 200,RRc,1,5,58,531,2,22,56,320,204,41,109,7,1356
100 < 200,SRV,351,159,33,2,2234,18,0,53,23,24,53,102,3052
100 < 200,clasCep,0,0,11,2,0,2192,177,7,0,7,200,2,2598
100 < 200,clasOvertoneCep,0,2,0,3,0,58,1330,3,2,6,28,0,1432
100 < 200,contactBinary,6,3,35,55,1,18,16,638,172,20,68,5,1037
100 < 200,detachedBinary,12,4,19,19,4,15,11,249,722,9,28,5,1097
100 < 200,dsct,0,0,0,0,0,3,2,1,0,55,2,0,63
100 < 200,t2Cep,1,1,5,4,4,59,38,23,21,5,1615,7,1783
100 < 200,t2RVTau,0,0,0,0,0,0,0,0,0,1,1,70,72
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,91,0,0,10,0,0,0,0,0,0,0,101
1000 < 1100,RRab,0,0,62,21,0,0,0,1,0,0,3,0,87
1000 < 1100,RRc,0,1,2,82,0,0,0,0,0,1,2,0,88
1000 < 1100,SRV,0,2,0,0,59,0,0,0,0,0,2,0,63
1000 < 1100,contactBinary,0,0,0,0,0,0,0,3,0,0,0,0,3
1000 < 1100,detachedBinary,0,0,0,1,0,0,0,1,3,1,0,0,6
1000 < 1100,dsct,0,0,0,0,0,0,0,0,0,426,0,0,426
