No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,10321,0,1,0,0,225,17,547,153,132,119,775,12290
0 < 100,OSARG,4461,107,1,0,18,152,8,539,841,381,892,3926,11326
0 < 100,RRab,182,4,251,25,0,337,214,5161,2265,299,2892,164,11794
0 < 100,RRc,132,0,38,139,0,241,1051,6046,1426,1041,1427,77,11618
0 < 100,SRV,7173,17,1,4,214,795,91,567,331,288,329,1852,11662
0 < 100,clasCep,43,0,9,5,0,1594,86,79,64,75,305,36,2296
0 < 100,clasOvertoneCep,11,0,2,9,0,226,688,66,53,96,62,2,1215
0 < 100,contactBinary,312,4,25,12,0,242,127,7305,2470,224,1077,181,11979
0 < 100,detachedBinary,157,4,14,11,0,381,93,2005,8379,231,294,93,11662
0 < 100,dsct,30,0,0,0,0,178,76,87,47,460,30,21,929
0 < 100,t2Cep,29,0,4,1,0,213,71,468,222,75,3873,686,5642
0 < 100,t2RVTau,29,0,0,0,0,15,3,12,5,5,104,798,971
100 < 200,Mira,1781,0,7,0,8,11,0,7,4,7,10,23,1858
100 < 200,OSARG,282,1611,28,0,164,49,10,139,81,49,105,136,2654
100 < 200,RRab,7,0,657,106,0,40,30,325,203,24,253,19,1664
100 < 200,RRc,2,1,77,477,3,24,101,312,191,38,125,5,1356
100 < 200,SRV,387,218,24,1,2160,43,1,42,12,17,57,90,3052
100 < 200,clasCep,2,3,24,6,1,2161,175,5,0,2,211,8,2598
100 < 200,clasOvertoneCep,0,0,0,4,0,85,1288,8,2,6,39,0,1432
100 < 200,contactBinary,7,2,25,39,0,23,24,580,201,14,120,2,1037
100 < 200,detachedBinary,17,2,14,15,5,20,25,243,709,9,36,2,1097
100 < 200,dsct,0,2,0,0,0,5,0,4,1,48,3,0,63
100 < 200,t2Cep,0,0,5,0,0,35,35,24,23,10,1644,7,1783
100 < 200,t2RVTau,0,0,0,0,0,0,0,0,0,1,7,64,72
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,97,0,0,3,0,0,0,0,0,1,0,101
1000 < 1100,RRab,0,0,67,19,0,0,0,1,0,0,0,0,87
1000 < 1100,RRc,0,0,1,83,0,0,4,0,0,0,0,0,88
1000 < 1100,SRV,1,4,0,0,55,0,0,0,0,0,2,1,63
1000 < 1100,contactBinary,0,0,0,0,0,0,0,1,2,0,0,0,3
1000 < 1100,detachedBinary,0,0,0,0,0,0,0,2,3,1,0,0,6
1000 < 1100,dsct,0,0,0,0,0,0,0,0,3,423,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,0,6,0,6
10000 < 10100,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10100 < 10200,RRab,0,0,3,0,0,0,0,0,0,0,0,0,3
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
10300 < 10400,RRab,0,0,0,1,0,0,0,0,0,0,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10600 < 10700,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,0,2
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,257,0,0,18,0,0,0,0,2,0,0,277
1100 < 1200,RRab,0,0,7,3,0,0,0,0,1,0,0,0,11
1100 < 1200,RRc,0,0,0,17,0,0,0,0,1,0,0,0,18
1100 < 1200,SRV,1,13,0,0,155,0,0,0,0,0,1,2,172
1100 < 1200,contactBinary,0,0,0,0,0,0,0,10,0,0,0,0,10
1100 < 1200,detachedBinary,0,0,3,0,0,0,0,1,6,0,0,0,10
1100 < 1200,dsct,0,0,0,0,0,0,0,0,1,122,0,0,123
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,3,2,0,0,0,0,0,0,0,0,5
11000 < 11100,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
11100 < 11200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11100 < 11200,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11200 < 11300,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
11200 < 11300,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11300 < 11400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11400 < 11500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,4
11500 < 11600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,1
11500 < 11600,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
11600 < 11700,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11600 < 11700,RRc,0,0,0,3,0,0,0,0,0,0,0,0,3
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,5,0,0,0,0,0,0,0,0,0,5
11700 < 11800,RRc,0,0,0,7,0,0,0,0,0,0,1,0,8
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
11800 < 11900,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
11800 < 11900,RRc,0,0,0,2,0,0,0,0,0,0,1,0,3
11900 < 12000,RRab,0,0,5,0,0,0,0,0,0,0,0,0,5
1200 < 1300,Mira,66,0,0,0,0,0,0,0,0,0,0,3,69
1200 < 1300,OSARG,0,65,0,0,5,0,0,0,0,0,0,0,70
1200 < 1300,RRab,0,0,12,8,0,0,0,0,1,0,1,0,22
1200 < 1300,RRc,0,0,0,16,0,0,0,0,0,0,0,0,16
1200 < 1300,SRV,1,1,0,0,65,0,0,0,0,0,0,1,68
1200 < 1300,contactBinary,0,0,0,0,0,0,0,10,3,0,0,0,13
1200 < 1300,detachedBinary,0,0,2,1,0,0,0,3,12,0,0,0,18
1200 < 1300,dsct,0,0,2,0,0,0,0,0,3,73,0,0,78
1200 < 1300,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,2,0,0,0,0,0,0,0,0,1,3
12000 < 12100,RRc,0,0,1,6,0,0,0,0,0,0,1,0,8
12100 < 12200,RRab,0,0,4,3,0,0,0,0,0,0,1,0,8
12100 < 12200,RRc,0,0,0,4,0,0,0,0,0,0,2,0,6
12200 < 12300,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
12200 < 12300,RRc,0,0,1,9,0,0,0,0,0,0,1,0,11
12300 < 12400,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
12400 < 12500,RRab,0,0,5,1,0,0,0,0,0,0,0,0,6
12400 < 12500,RRc,0,0,0,12,0,0,0,0,0,0,0,0,12
12500 < 12600,RRab,0,0,13,0,0,0,0,0,0,0,0,0,13
12500 < 12600,RRc,0,0,0,13,0,0,0,0,0,0,1,0,14
12500 < 12600,contactBinary,0,0,0,2,0,0,0,0,0,0,0,0,2
12600 < 12700,RRab,0,0,9,2,0,0,0,0,0,0,0,0,11
12600 < 12700,RRc,0,0,1,34,1,0,0,0,1,0,0,0,37
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,105,11,0,0,0,0,0,0,2,0,118
12700 < 12800,RRc,0,0,3,138,0,0,0,0,0,0,0,0,141
12700 < 12800,clasCep,0,0,0,2,0,0,0,0,0,0,1,0,3
12700 < 12800,t2Cep,0,0,1,0,0,0,0,0,0,0,11,0,12
12800 < 12900,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
12800 < 12900,contactBinary,0,0,0,0,0,0,0,0,0,0,1,0,1
12900 < 13000,RRab,0,0,2,0,0,0,0,0,0,0,0,0,2
12900 < 13000,RRc,0,0,0,5,0,0,0,0,0,0,1,0,6
1300 < 1400,Mira,636,0,0,0,6,0,0,0,0,0,0,0,642
1300 < 1400,OSARG,0,653,0,0,65,0,0,0,0,0,0,0,718
1300 < 1400,RRab,0,0,29,5,0,0,0,0,0,0,0,0,34
1300 < 1400,RRc,0,2,8,35,0,0,0,0,0,0,1,0,46
1300 < 1400,SRV,18,53,0,0,706,0,0,0,0,0,0,1,778
1300 < 1400,clasOvertoneCep,0,0,0,0,0,0,3,0,0,0,0,0,3
1300 < 1400,contactBinary,0,0,1,6,0,0,0,46,3,0,0,0,56
1300 < 1400,detachedBinary,0,0,0,1,0,0,0,18,45,0,0,0,64
1300 < 1400,dsct,0,0,0,0,0,0,0,0,1,50,0,0,51
1300 < 1400,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,0,1,2,1,0,0,0,1,0,0,0,5
13000 < 13100,RRc,0,0,0,6,0,0,0,0,0,0,0,0,6
13100 < 13200,RRab,0,0,14,1,1,0,0,0,2,0,3,1,22
13100 < 13200,RRc,2,0,2,14,0,0,0,2,0,0,1,0,21
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,8,0,0,0,0,1,0,0,0,0,9
13200 < 13300,RRc,0,0,0,5,0,0,0,0,0,0,0,0,5
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,2,0,0,0,0,0,0,0,1,0,3
13300 < 13400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
13400 < 13500,RRab,0,0,4,0,0,0,0,0,0,0,0,0,4
13400 < 13500,RRc,0,0,0,9,0,0,0,0,0,0,2,0,11
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,10,0,0,0,0,0,0,0,0,0,10
13500 < 13600,RRc,0,0,1,13,0,0,0,0,0,0,0,0,14
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,22,0,0,0,0,0,1,0,1,0,24
13600 < 13700,RRc,0,0,0,20,0,0,0,0,1,0,0,0,21
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,0,6,0,6
13700 < 13800,RRab,0,0,25,4,0,0,0,0,0,0,0,0,29
13700 < 13800,RRc,0,0,1,49,0,0,0,0,0,0,0,0,50
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,230,22,0,0,0,0,0,0,3,2,257
13800 < 13900,RRc,0,0,13,230,0,0,0,0,1,0,0,0,244
13800 < 13900,clasOvertoneCep,0,0,0,1,0,0,2,0,0,0,0,0,3
13800 < 13900,t2Cep,0,0,0,1,0,0,0,0,0,0,89,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
13900 < 14000,RRab,0,0,1,0,0,0,0,0,0,0,1,0,2
13900 < 14000,RRc,0,0,1,2,0,0,0,0,0,0,0,0,3
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,455,0,0,0,7,0,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,738,0,0,51,0,0,0,0,0,0,0,789
