No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,9494,636,25,13,2,1870,57,22,158,62,71,66,253,12729
0 < 100,OSARG,660,8957,112,53,4,928,4,15,186,245,12,50,59,11285
0 < 100,RRab,195,127,4818,1537,211,142,108,63,2035,2008,98,528,85,11955
0 < 100,RRc,151,50,1373,6242,337,75,127,77,1594,1201,191,235,38,11691
0 < 100,RRd,9,0,62,201,113,7,0,0,58,44,9,12,2,517
0 < 100,SRV,4498,1908,49,107,15,3511,557,154,283,148,196,248,429,12103
0 < 100,clasCep,23,13,78,52,10,45,1426,91,58,50,153,364,40,2403
0 < 100,clasOvertoneCep,9,5,20,107,15,7,205,549,49,38,121,90,4,1219
0 < 100,contactBinary,544,107,1493,1930,166,145,130,46,4186,2583,149,501,126,12106
0 < 100,detachedBinary,183,118,566,436,137,87,216,75,1402,8230,236,201,65,11952
0 < 100,dsct,46,25,44,99,16,16,174,172,115,57,568,84,19,1435
0 < 100,t2Cep,77,71,613,352,20,67,164,39,379,209,106,3037,585,5719
0 < 100,t2RVTau,51,74,7,1,0,58,17,1,24,3,14,77,649,976
100 < 200,Mira,6465,33,1,0,0,123,61,0,7,0,5,253,472,7420
100 < 200,OSARG,51,2184,18,12,2,286,5,17,34,52,0,27,11,2699
100 < 200,RRab,39,100,900,127,63,99,790,116,544,176,3,1688,61,4706
100 < 200,RRc,3,40,304,565,123,20,251,208,1775,131,11,934,17,4382
100 < 200,RRd,5,4,12,12,88,3,45,5,35,0,0,79,5,293
100 < 200,SRV,525,311,19,11,2,2716,261,330,1537,108,4,2772,764,9360
100 < 200,clasCep,7,1,17,9,0,4,2751,235,56,1,7,425,28,3541
100 < 200,clasOvertoneCep,0,0,0,13,0,0,114,1420,30,0,7,62,1,1647
100 < 200,contactBinary,7,27,166,115,19,12,61,151,2710,266,9,435,25,4003
100 < 200,detachedBinary,45,19,85,56,16,23,67,97,2635,1983,7,375,61,5469
100 < 200,dsct,20,23,34,46,30,19,305,687,2564,49,33,708,19,4537
100 < 200,t2Cep,7,8,28,27,0,4,58,28,99,19,0,2497,29,2804
100 < 200,t2RVTau,4,0,0,0,0,2,4,0,1,0,1,12,241,265
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,77,0,2,0,1,0,2,0,0,1,0,0,83
1000 < 1100,RRab,0,0,60,9,0,0,0,0,1,1,0,3,0,74
1000 < 1100,RRc,0,0,2,81,2,0,0,0,1,0,0,2,0,88
1000 < 1100,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1000 < 1100,SRV,4,1,0,1,0,42,1,0,0,0,0,5,4,58
1000 < 1100,contactBinary,0,0,0,0,0,0,0,0,5,1,0,0,0,6
1000 < 1100,detachedBinary,0,0,0,1,0,0,0,0,0,3,0,0,0,4
1000 < 1100,dsct,0,0,0,0,0,0,0,0,0,0,426,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,0,0,15,0,15
10000 < 10100,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10100 < 10200,RRab,0,0,3,1,0,0,0,0,0,0,0,0,1,5
10200 < 10300,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
10400 < 10500,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10400 < 10500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
10400 < 10500,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10500 < 10600,detachedBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10600 < 10700,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,4,0,1,0,0,0,0,0,0,0,0,5
10800 < 10900,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
10900 < 11000,RRc,0,0,1,6,0,0,0,0,0,0,0,0,0,7
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,223,0,0,0,22,0,1,0,1,1,1,0,249
1100 < 1200,RRab,0,0,10,3,0,0,0,0,3,0,0,3,0,19
1100 < 1200,RRc,0,0,2,13,0,0,0,0,4,1,0,1,0,21
1100 < 1200,SRV,4,8,0,0,0,166,0,1,0,0,0,0,0,179
1100 < 1200,clasCep,0,0,0,0,0,0,5,0,0,0,0,0,0,5
1100 < 1200,contactBinary,0,0,0,3,0,0,0,0,8,1,0,0,0,12
1100 < 1200,detachedBinary,0,0,0,0,0,0,0,0,3,1,0,0,0,4
1100 < 1200,dsct,0,0,0,0,0,0,0,0,2,0,121,0,0,123
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,1,3,0,0,0,0,0,0,0,0,0,4
11000 < 11100,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11100 < 11200,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11100 < 11200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
