No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,8796,664,58,19,1,1726,156,11,287,137,82,109,647,12693
0 < 100,OSARG,518,9133,140,56,2,789,26,19,97,288,15,65,158,11306
0 < 100,RRab,161,125,5601,1650,134,91,182,34,1026,2138,84,572,99,11897
0 < 100,RRc,123,67,1492,6926,250,52,216,83,693,1365,115,265,69,11716
0 < 100,RRd,3,5,69,215,96,4,2,0,31,41,5,22,5,498
0 < 100,SRV,3984,1994,96,81,11,3147,724,116,285,227,172,336,931,12104
0 < 100,clasCep,35,9,82,37,0,21,1545,64,70,57,94,362,24,2400
0 < 100,clasOvertoneCep,9,5,29,132,5,2,278,484,67,45,72,79,0,1207
0 < 100,contactBinary,366,153,2216,2407,126,91,220,39,2857,2722,116,623,189,12125
0 < 100,detachedBinary,152,137,665,551,43,70,394,106,1211,8224,166,202,74,11995
0 < 100,dsct,27,19,60,104,5,33,255,279,110,73,329,83,23,1400
0 < 100,t2Cep,56,95,710,371,14,33,268,21,156,196,68,3319,545,5852
0 < 100,t2RVTau,36,68,6,11,0,20,27,0,8,6,8,107,695,992
100 < 200,Mira,6128,45,5,0,0,89,77,0,3,1,2,351,814,7515
100 < 200,OSARG,54,2103,17,8,0,306,14,15,37,31,5,26,13,2629
100 < 200,RRab,16,25,885,193,40,23,1423,96,433,136,8,1364,61,4703
100 < 200,RRc,2,28,236,612,73,3,471,194,1729,129,12,930,11,4430
100 < 200,RRd,3,1,5,16,93,0,85,3,29,0,0,68,3,306
100 < 200,SRV,435,294,26,10,0,2596,390,271,1943,37,10,2683,704,9399
100 < 200,clasCep,0,0,13,1,0,4,3048,137,40,0,9,274,16,3542
100 < 200,clasOvertoneCep,0,1,2,15,1,2,177,1361,22,0,6,47,0,1634
100 < 200,contactBinary,8,26,118,144,4,7,197,120,2689,134,9,499,12,3967
100 < 200,detachedBinary,57,30,80,72,1,16,159,108,3089,1177,20,395,57,5261
100 < 200,dsct,14,15,28,12,4,1,474,565,2530,17,40,789,16,4505
100 < 200,t2Cep,2,10,42,17,2,0,140,29,91,9,1,2417,34,2794
100 < 200,t2RVTau,0,3,0,0,0,0,3,0,0,0,1,16,241,264
1000 < 1100,Mira,54,0,0,0,0,0,0,0,0,0,0,0,3,57
1000 < 1100,OSARG,0,79,0,2,0,9,0,0,0,0,0,0,0,90
1000 < 1100,RRab,0,1,76,10,0,0,1,1,2,0,0,0,0,91
1000 < 1100,RRc,0,0,4,91,1,0,0,0,3,0,0,0,0,99
1000 < 1100,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1000 < 1100,SRV,1,2,0,0,0,64,0,0,0,0,0,1,0,68
1000 < 1100,contactBinary,0,0,0,0,0,0,0,0,1,1,0,1,0,3
1000 < 1100,detachedBinary,0,0,0,3,0,0,0,0,0,4,0,0,0,7
1000 < 1100,dsct,0,0,1,0,0,0,0,0,0,0,425,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,1,0,0,0,0,13,0,14
10000 < 10100,RRab,0,0,2,2,0,0,0,0,0,0,0,2,0,6
10100 < 10200,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10300 < 10400,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10400 < 10500,RRab,0,0,1,0,0,0,0,0,0,1,0,0,0,2
10400 < 10500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10600 < 10700,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
10600 < 10700,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10700 < 10800,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,0,96
