No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,9612,505,52,12,2,1603,163,31,232,74,108,101,198,12693
0 < 100,OSARG,685,8787,162,70,2,1117,24,23,91,209,9,61,66,11306
0 < 100,RRab,217,99,6102,1571,115,110,190,31,985,1741,75,607,54,11897
0 < 100,RRc,154,42,1707,6867,201,54,197,86,782,1155,107,335,29,11716
0 < 100,RRd,5,9,62,213,101,3,3,1,44,32,4,20,1,498
0 < 100,SRV,4601,1629,100,93,34,3497,646,173,250,152,239,345,345,12104
0 < 100,clasCep,22,3,81,31,6,40,1610,91,55,44,91,309,17,2400
0 < 100,clasOvertoneCep,7,1,29,127,2,10,215,605,26,45,68,72,0,1207
0 < 100,contactBinary,530,116,2432,2427,91,102,232,38,3067,2212,96,679,103,12125
0 < 100,detachedBinary,181,115,840,607,38,85,384,80,1178,7978,134,318,57,11995
0 < 100,dsct,41,14,51,117,83,21,260,218,124,69,315,83,4,1400
0 < 100,t2Cep,79,66,740,304,26,52,233,50,129,171,49,3413,540,5852
0 < 100,t2RVTau,45,51,3,6,1,29,29,0,8,3,7,117,693,992
100 < 200,Mira,5871,28,3,0,1,93,162,0,12,0,2,333,1010,7515
100 < 200,OSARG,42,2019,15,10,0,408,21,19,36,27,1,28,3,2629
100 < 200,RRab,6,20,963,169,58,33,1285,106,419,134,6,1469,35,4703
100 < 200,RRc,1,7,253,677,83,10,402,162,1777,114,11,929,4,4430
100 < 200,RRd,0,0,9,5,103,0,67,3,28,3,0,87,1,306
100 < 200,SRV,478,160,21,19,0,2673,357,224,1681,31,2,3165,588,9399
100 < 200,clasCep,0,2,12,5,0,3,3034,175,43,0,5,254,9,3542
100 < 200,clasOvertoneCep,0,0,2,16,1,1,81,1441,6,0,4,79,3,1634
100 < 200,contactBinary,7,14,125,151,7,9,142,83,2726,162,8,517,16,3967
100 < 200,detachedBinary,41,13,98,80,9,15,124,62,3242,1134,7,367,69,5261
100 < 200,dsct,9,5,17,20,3,3,490,505,2636,13,43,737,24,4505
100 < 200,t2Cep,4,2,30,19,1,3,83,21,43,8,5,2556,19,2794
100 < 200,t2RVTau,0,0,1,0,0,1,0,0,0,0,0,14,248,264
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,78,0,0,0,10,0,1,0,0,0,1,0,90
1000 < 1100,RRab,0,0,72,14,1,0,1,0,3,0,0,0,0,91
1000 < 1100,RRc,0,0,3,90,3,0,0,0,3,0,0,0,0,99
1000 < 1100,RRd,0,0,2,0,1,0,0,0,0,0,0,0,0,3
1000 < 1100,SRV,1,3,0,0,0,62,0,0,0,0,0,2,0,68
1000 < 1100,contactBinary,0,0,0,0,0,0,0,0,2,1,0,0,0,3
1000 < 1100,detachedBinary,0,0,1,1,0,0,0,0,0,5,0,0,0,7
1000 < 1100,dsct,0,0,0,0,0,0,0,0,1,1,424,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,0,0,14,0,14
10000 < 10100,RRab,0,0,2,2,0,0,0,0,0,0,0,2,0,6
10100 < 10200,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10300 < 10400,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10400 < 10500,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
10400 < 10500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10600 < 10700,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
10600 < 10700,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10700 < 10800,RRab,0,0,1,0,0,0,0,0,0,0,0,2,0,3
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,211,0,0,0,17,0,0,1,0,0,0,0,229
1100 < 1200,RRab,0,0,13,3,0,0,0,0,0,1,0,0,0,17
1100 < 1200,RRc,0,0,0,15,1,0,0,0,1,1,0,2,0,20
1100 < 1200,SRV,4,8,0,0,0,187,0,0,0,0,0,3,1,203
1100 < 1200,clasCep,0,0,0,0,0,0,5,0,0,0,0,0,0,5
1100 < 1200,contactBinary,0,0,0,3,0,0,0,0,4,0,0,1,0,8
1100 < 1200,detachedBinary,0,0,3,0,0,0,0,0,6,2,0,1,0,12
1100 < 1200,dsct,0,0,0,0,0,0,0,0,2,0,121,0,0,123
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11000 < 11100,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
11100 < 11200,RRab,0,0,6,0,0,0,0,0,0,0,0,0,0,6
11100 < 11200,RRc,0,0,0,2,0,0,0,0,0,0,0,3,0,5
11200 < 11300,RRab,0,0,1,0,0,0,0,0,0,0,0,2,1,4
11200 < 11300,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11300 < 11400,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11300 < 11400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11400 < 11500,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
11400 < 11500,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
11500 < 11600,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11600 < 11700,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
11600 < 11700,RRc,0,0,0,1,0,0,0,0,0,0,0,1,0,2
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
11700 < 11800,RRab,0,0,5,0,0,0,0,0,0,0,0,0,1,6
11700 < 11800,RRc,0,0,1,6,0,0,0,0,0,0,0,1,0,8
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
11900 < 12000,RRab,0,0,3,0,0,0,0,0,0,0,0,1,1,5
1200 < 1300,Mira,67,0,0,2,0,0,0,0,0,0,0,0,0,69
1200 < 1300,OSARG,0,75,0,1,0,11,0,0,0,1,0,0,0,88
1200 < 1300,RRab,0,0,12,3,0,0,0,0,2,0,0,0,0,17
1200 < 1300,RRc,0,0,0,15,0,0,0,0,1,0,0,0,0,16
1200 < 1300,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1200 < 1300,SRV,0,1,0,0,0,69,0,0,0,0,0,0,0,70
1200 < 1300,contactBinary,0,0,0,0,0,0,0,0,6,2,0,0,0,8
1200 < 1300,detachedBinary,0,0,0,1,0,0,0,0,3,5,0,0,0,9
1200 < 1300,dsct,0,0,0,0,0,0,0,0,1,0,77,0,0,78
1200 < 1300,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,3,0,0,0,0,0,0,0,0,1,0,4
12000 < 12100,RRc,0,0,4,3,0,0,0,0,0,0,0,1,0,8
12000 < 12100,contactBinary,0,0,1,1,0,0,0,0,0,0,0,0,0,2
12100 < 12200,RRab,0,0,4,0,0,0,0,0,0,0,0,1,0,5
12100 < 12200,RRc,0,0,0,3,0,0,0,0,0,0,0,3,0,6
12200 < 12300,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
12200 < 12300,RRc,0,0,1,10,0,0,0,0,0,0,0,0,0,11
12300 < 12400,RRab,0,0,3,1,0,0,0,0,0,0,0,2,0,6
12300 < 12400,RRc,0,0,0,3,0,0,0,0,0,0,0,1,0,4
12400 < 12500,RRab,0,0,5,1,0,0,0,0,0,0,0,1,0,7
12400 < 12500,RRc,0,0,0,11,0,0,0,0,0,0,0,0,0,11
12400 < 12500,RRd,0,0,0,2,1,0,0,0,0,0,0,0,0,3
12500 < 12600,RRab,0,0,10,1,1,0,0,0,0,0,0,1,0,13
12500 < 12600,RRc,0,0,0,13,0,0,0,0,0,0,0,0,0,13
12500 < 12600,contactBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12600 < 12700,RRab,0,0,10,4,0,0,0,0,0,0,0,1,0,15
12600 < 12700,RRc,0,0,0,25,0,0,0,0,0,1,0,1,0,27
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,77,1,0,0,0,0,0,1,0,6,0,85
12700 < 12800,RRc,0,0,13,110,0,0,0,0,0,1,0,1,0,125
12700 < 12800,RRd,0,0,0,0,6,0,0,0,0,0,0,0,0,6
12700 < 12800,clasCep,0,0,0,0,0,0,2,0,0,0,0,1,0,3
12700 < 12800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
12800 < 12900,RRab,0,0,3,0,0,0,0,0,0,0,0,0,1,4
12900 < 13000,RRab,0,0,0,1,0,0,0,0,0,0,0,0,2,3
12900 < 13000,RRc,0,0,0,6,0,0,0,0,0,0,0,0,0,6
1300 < 1400,Mira,637,0,0,0,0,5,0,0,0,0,0,0,0,642
1300 < 1400,OSARG,0,619,0,0,0,101,0,0,0,0,0,0,0,720
1300 < 1400,RRab,0,0,23,7,0,0,0,0,0,0,0,2,0,32
1300 < 1400,RRc,0,0,1,58,0,0,0,0,1,0,0,0,0,60
1300 < 1400,SRV,13,37,0,0,0,708,0,0,0,0,0,0,0,758
1300 < 1400,clasOvertoneCep,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1300 < 1400,contactBinary,0,0,0,0,0,0,0,0,53,8,0,1,0,62
1300 < 1400,detachedBinary,0,0,4,4,0,0,0,0,17,34,0,0,0,59
1300 < 1400,dsct,0,0,0,0,0,0,0,0,0,2,49,0,0,51
1300 < 1400,t2Cep,0,0,0,0,0,0,0,0,0,0,0,7,0,7
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,1,1,1,1,0,0,0,0,0,0,1,0,5
13000 < 13100,RRc,0,0,0,5,0,0,0,0,0,0,0,0,0,5
13100 < 13200,RRab,0,0,11,1,1,0,0,0,0,0,0,2,0,15
13100 < 13200,RRc,0,0,1,18,0,0,0,0,0,0,0,1,0,20
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,7,0,0,0,0,0,0,0,0,0,0,7
13200 < 13300,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,7,2,0,0,0,0,0,0,0,1,0,10
13300 < 13400,RRc,0,0,0,6,0,0,0,0,0,0,0,0,0,6
13400 < 13500,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
13400 < 13500,RRc,0,0,0,7,0,0,0,0,0,0,0,2,0,9
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,7,1,0,0,0,0,0,0,0,0,0,8
13500 < 13600,RRc,0,0,1,13,0,0,0,0,0,0,0,0,0,14
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,19,1,0,0,0,0,0,0,0,3,0,23
13600 < 13700,RRc,0,0,0,22,0,0,0,0,0,0,0,0,0,22
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,6,0,6
13700 < 13800,RRab,0,0,41,7,0,0,0,0,0,0,0,4,0,52
13700 < 13800,RRc,0,0,0,40,0,0,0,0,0,0,0,1,0,41
13700 < 13800,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,258,35,0,0,0,0,0,0,0,3,0,296
13800 < 13900,RRc,0,0,13,220,0,0,0,0,0,1,0,0,0,234
13800 < 13900,RRd,0,0,0,0,15,0,0,0,0,0,0,0,0,15
13800 < 13900,clasOvertoneCep,0,0,0,1,0,0,0,2,0,0,0,0,0,3
13800 < 13900,t2Cep,0,0,0,1,0,0,0,0,0,0,0,89,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
13900 < 14000,RRab,0,0,2,0,0,0,0,0,0,0,0,1,0,3
13900 < 14000,RRc,0,0,0,3,0,0,0,0,0,0,0,1,0,4
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,461,1,0,0,0,0,0,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,780,0,0,0,88,0,0,0,0,0,0,0,868
1400 < 1500,RRab,0,0,93,12,1,0,0,0,1,0,0,1,0,108
1400 < 1500,RRc,0,0,2,127,3,0,0,0,3,0,0,2,0,137
1400 < 1500,RRd,0,0,0,0,9,0,0,0,0,0,0,0,0,9
1400 < 1500,SRV,5,24,0,0,0,640,0,0,0,0,0,0,0,669
1400 < 1500,contactBinary,0,0,0,4,0,0,0,0,209,70,0,2,0,285
1400 < 1500,detachedBinary,0,0,4,0,0,1,0,0,41,269,0,0,2,317
1400 < 1500,dsct,0,0,2,0,0,0,0,0,0,0,46,0,0,48
1400 < 1500,t2Cep,0,0,2,0,0,0,0,0,0,0,0,10,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,1,0,3,0,0,0,0,0,0,0,0,1,0,5
14000 < 14100,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14100 < 14200,RRab,0,0,2,0,0,0,0,0,0,0,0,1,0,3
14100 < 14200,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14200 < 14300,RRab,0,0,6,1,0,0,0,0,0,0,0,0,0,7
14200 < 14300,RRc,0,0,0,4,0,0,0,0,0,0,0,2,0,6
14200 < 14300,t2RVTau,0,0,0,0,0,1,0,0,0,0,0,0,2,3
14300 < 14400,RRab,0,0,5,1,0,0,0,0,0,0,0,2,0,8
14300 < 14400,RRc,0,0,0,8,0,0,0,0,0,0,0,2,0,10
14400 < 14500,RRab,0,0,4,1,0,0,0,0,0,0,0,1,0,6
14400 < 14500,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14500 < 14600,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14600 < 14700,RRab,0,0,2,2,0,0,0,0,0,0,0,0,0,4
14600 < 14700,RRc,0,0,0,5,0,0,0,0,0,0,0,0,0,5
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14700 < 14800,RRab,0,0,3,1,0,0,0,0,0,0,0,0,0,4
14700 < 14800,RRc,0,0,0,6,0,0,0,0,0,0,0,0,0,6
14800 < 14900,RRab,0,0,19,1,0,0,0,0,0,0,0,1,0,21
14800 < 14900,RRc,0,0,0,16,0,0,0,0,0,0,0,0,0,16
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14900 < 15000,RRab,0,0,126,13,0,0,0,0,0,0,0,6,0,145
14900 < 15000,RRc,0,0,3,171,0,0,0,0,0,0,0,1,0,175
14900 < 15000,clasOvertoneCep,0,0,0,1,0,0,0,2,0,0,0,0,0,3
14900 < 15000,t2Cep,0,0,0,0,0,0,0,0,0,0,0,24,0,24
1500 < 1600,Mira,24,0,0,0,0,0,0,0,0,0,0,0,0,24
1500 < 1600,OSARG,0,11,0,1,0,1,0,0,0,0,0,0,0,13
1500 < 1600,RRab,0,0,160,21,5,0,1,0,2,1,0,9,0,199
1500 < 1600,RRc,0,0,8,301,3,0,0,1,4,0,0,6,0,323
1500 < 1600,RRd,0,0,0,0,15,0,0,0,0,0,0,0,0,15
1500 < 1600,SRV,0,0,0,0,0,18,0,0,0,0,0,1,0,19
1500 < 1600,clasCep,0,0,0,2,0,0,1,0,0,0,0,0,0,3
1500 < 1600,contactBinary,0,0,0,0,0,0,0,0,2,0,0,1,0,3
1500 < 1600,detachedBinary,0,0,1,0,0,0,0,0,1,2,0,0,0,4
1500 < 1600,dsct,0,0,0,0,0,0,0,0,0,0,36,0,0,36
1500 < 1600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,42,0,42
1500 < 1600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,9,9
15000 < 15100,RRab,0,0,21,2,0,0,0,0,0,0,0,0,0,23
15000 < 15100,RRc,0,0,0,16,0,0,0,0,0,0,0,0,0,16
15000 < 15100,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,0,0,3
15000 < 15100,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
15000 < 15100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1600 < 1700,Mira,30,0,0,0,0,0,0,0,0,0,0,0,0,30
1600 < 1700,OSARG,0,52,0,0,0,12,0,0,1,0,0,0,0,65
1600 < 1700,RRab,0,0,167,25,1,0,1,0,6,1,0,3,0,204
1600 < 1700,RRc,0,0,8,202,7,0,0,0,2,3,0,6,0,228
1600 < 1700,RRd,0,0,0,0,18,0,0,0,0,0,0,0,0,18
1600 < 1700,SRV,2,0,0,0,0,29,0,0,0,0,0,1,0,32
1600 < 1700,clasOvertoneCep,0,0,0,1,0,0,0,4,0,1,0,0,0,6
1600 < 1700,detachedBinary,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1600 < 1700,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
1600 < 1700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,27,0,27
1600 < 1700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
1700 < 1800,Mira,111,0,0,0,0,0,0,0,0,0,0,0,0,111
1700 < 1800,OSARG,0,202,0,0,0,39,0,0,0,0,2,0,0,243
1700 < 1800,RRab,0,0,125,14,0,0,0,0,0,0,0,3,0,142
1700 < 1800,RRc,0,0,7,155,4,0,0,0,0,1,0,0,0,167
1700 < 1800,RRd,0,0,0,0,9,0,0,0,0,0,0,0,0,9
1700 < 1800,SRV,2,14,0,0,0,180,0,0,0,0,0,1,1,198
1700 < 1800,clasOvertoneCep,0,0,1,2,2,0,0,4,0,0,0,0,0,9
1700 < 1800,detachedBinary,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1700 < 1800,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
