No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
11900 < 12000,RRab,0,0,4,0,0,0,0,0,0,0,0,1,0,5
1200 < 1300,Mira,69,0,0,0,0,0,0,0,0,0,0,0,0,69
1200 < 1300,OSARG,1,76,0,1,0,5,0,0,2,0,1,2,0,88
1200 < 1300,RRab,0,0,10,3,0,0,0,0,2,0,0,2,0,17
1200 < 1300,RRc,0,0,0,15,0,0,0,1,0,0,0,0,0,16
1200 < 1300,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1200 < 1300,SRV,0,0,0,0,0,70,0,0,0,0,0,0,0,70
1200 < 1300,contactBinary,0,0,0,0,0,0,0,0,8,0,0,0,0,8
1200 < 1300,detachedBinary,0,0,0,1,0,0,0,0,3,5,0,0,0,9
1200 < 1300,dsct,0,0,0,2,0,0,0,0,0,0,76,0,0,78
1200 < 1300,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
1200 < 1300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
12000 < 12100,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
12000 < 12100,RRc,0,0,0,4,0,1,0,0,3,0,0,0,0,8
12000 < 12100,contactBinary,0,0,0,2,0,0,0,0,0,0,0,0,0,2
12100 < 12200,RRab,0,0,3,0,0,0,0,0,0,0,0,2,0,5
12100 < 12200,RRc,0,0,0,6,0,0,0,0,0,0,0,0,0,6
12200 < 12300,RRab,0,0,1,0,0,0,0,0,0,0,0,1,0,2
12200 < 12300,RRc,0,0,0,11,0,0,0,0,0,0,0,0,0,11
12300 < 12400,RRab,0,0,5,1,0,0,0,0,0,0,0,0,0,6
12300 < 12400,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
12400 < 12500,RRab,0,0,4,2,0,0,0,0,0,0,0,1,0,7
12400 < 12500,RRc,0,0,0,11,0,0,0,0,0,0,0,0,0,11
12400 < 12500,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
12500 < 12600,RRab,0,0,9,3,0,1,0,0,0,0,0,0,0,13
12500 < 12600,RRc,0,0,0,12,0,1,0,0,0,0,0,0,0,13
12500 < 12600,contactBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12600 < 12700,RRab,0,0,8,4,2,0,0,0,0,0,0,1,0,15
12600 < 12700,RRc,0,0,1,23,0,1,0,0,0,1,0,1,0,27
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
12700 < 12800,RRab,0,0,75,6,0,0,0,0,0,0,0,4,0,85
12700 < 12800,RRc,0,0,4,119,0,0,0,0,1,0,0,1,0,125
12700 < 12800,RRd,0,0,0,0,6,0,0,0,0,0,0,0,0,6
12700 < 12800,clasCep,0,0,0,0,0,0,3,0,0,0,0,0,0,3
12700 < 12800,t2Cep,0,0,1,0,0,0,0,0,0,0,0,11,0,12
12800 < 12900,RRab,0,0,2,0,0,0,0,0,0,0,0,1,1,4
12900 < 13000,RRab,0,0,0,1,0,0,0,0,0,0,0,2,0,3
12900 < 13000,RRc,0,0,0,6,0,0,0,0,0,0,0,0,0,6
1300 < 1400,Mira,637,0,0,0,0,5,0,0,0,0,0,0,0,642
1300 < 1400,OSARG,0,639,0,0,0,81,0,0,0,0,0,0,0,720
1300 < 1400,RRab,0,0,23,7,0,0,0,0,1,0,0,1,0,32
1300 < 1400,RRc,0,0,0,58,2,0,0,0,0,0,0,0,0,60
1300 < 1400,SRV,19,51,0,0,0,688,0,0,0,0,0,0,0,758
1300 < 1400,clasOvertoneCep,0,0,0,0,0,0,0,2,0,0,0,1,0,3
1300 < 1400,contactBinary,0,0,0,1,0,0,0,0,52,8,0,1,0,62
1300 < 1400,detachedBinary,0,0,0,6,0,0,0,0,17,36,0,0,0,59
1300 < 1400,dsct,0,0,0,0,0,0,0,0,0,1,50,0,0,51
1300 < 1400,t2Cep,0,0,0,0,0,0,0,0,0,0,0,7,0,7
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,0,2,1,0,0,0,0,0,0,0,2,0,5
13000 < 13100,RRc,0,0,0,5,0,0,0,0,0,0,0,0,0,5
13100 < 13200,RRab,0,0,11,1,0,1,0,0,0,0,0,2,0,15
13100 < 13200,RRc,0,0,0,19,0,0,0,0,0,0,0,1,0,20
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,5,0,0,0,0,0,0,0,0,2,0,7
13200 < 13300,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,7,1,0,0,0,0,0,0,0,2,0,10
13300 < 13400,RRc,0,0,0,5,0,0,0,0,0,0,0,1,0,6
13400 < 13500,RRab,0,0,1,0,0,0,0,0,1,0,0,0,0,2
13400 < 13500,RRc,0,0,0,9,0,0,0,0,0,0,0,0,0,9
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,3,1,0,0,0,0,0,0,0,4,0,8
13500 < 13600,RRc,0,0,0,13,0,0,0,0,0,0,0,1,0,14
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,18,1,0,1,0,0,1,0,0,2,0,23
13600 < 13700,RRc,0,0,0,22,0,0,0,0,0,0,0,0,0,22
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,6,0,6
13700 < 13800,RRab,0,0,34,10,1,0,2,0,0,0,0,5,0,52
13700 < 13800,RRc,0,0,0,36,0,3,0,0,0,0,0,2,0,41
13700 < 13800,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,245,45,1,0,0,0,0,0,0,5,0,296
13800 < 13900,RRc,0,0,4,229,0,0,0,0,0,1,0,0,0,234
13800 < 13900,RRd,0,0,0,1,14,0,0,0,0,0,0,0,0,15
13800 < 13900,clasOvertoneCep,0,0,0,2,0,0,0,1,0,0,0,0,0,3
13800 < 13900,t2Cep,0,0,0,1,0,0,0,0,0,0,0,89,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
13900 < 14000,RRab,0,0,2,0,0,0,0,0,0,0,0,1,0,3
13900 < 14000,RRc,0,0,0,3,0,0,0,0,0,0,0,1,0,4
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,458,1,0,0,0,3,0,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,796,0,0,0,72,0,0,0,0,0,0,0,868
1400 < 1500,RRab,0,0,83,24,0,0,0,0,1,0,0,0,0,108
1400 < 1500,RRc,0,0,0,134,1,0,0,0,0,0,0,2,0,137
1400 < 1500,RRd,0,0,0,0,9,0,0,0,0,0,0,0,0,9
1400 < 1500,SRV,5,36,0,0,0,628,0,0,0,0,0,0,0,669
1400 < 1500,contactBinary,0,0,0,9,0,0,0,0,229,47,0,0,0,285
1400 < 1500,detachedBinary,0,0,1,2,0,1,0,0,84,227,0,0,2,317
1400 < 1500,dsct,0,0,0,2,0,0,0,0,0,0,46,0,0,48
1400 < 1500,t2Cep,0,0,0,1,0,0,0,0,0,0,0,11,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,0,0,4,0,0,1,0,0,0,0,0,0,0,5
14000 < 14100,RRc,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14100 < 14200,RRab,0,0,2,0,0,0,0,0,0,0,0,1,0,3
14100 < 14200,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14200 < 14300,RRab,0,0,6,1,0,0,0,0,0,0,0,0,0,7
14200 < 14300,RRc,0,0,0,5,0,0,0,0,0,0,0,1,0,6
14200 < 14300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14300 < 14400,RRab,0,0,5,1,0,0,0,0,0,0,0,2,0,8
14300 < 14400,RRc,0,0,0,7,0,0,0,0,0,0,0,3,0,10
14400 < 14500,RRab,0,0,5,0,0,0,0,0,0,0,0,0,1,6
14400 < 14500,RRc,0,0,0,3,0,0,0,0,0,0,0,1,0,4
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14500 < 14600,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14600 < 14700,RRab,0,0,1,1,0,0,0,0,0,0,0,2,0,4
14600 < 14700,RRc,0,0,1,4,0,0,0,0,0,0,0,0,0,5
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14700 < 14800,RRab,0,0,3,0,0,0,0,0,0,0,0,1,0,4
14700 < 14800,RRc,0,0,0,6,0,0,0,0,0,0,0,0,0,6
14800 < 14900,RRab,0,0,18,1,0,0,0,0,0,0,0,2,0,21
14800 < 14900,RRc,0,0,0,15,0,0,0,0,0,0,0,1,0,16
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14900 < 15000,RRab,0,0,118,13,1,0,0,0,0,0,0,13,0,145
14900 < 15000,RRc,0,0,0,174,0,0,0,0,0,0,0,1,0,175
14900 < 15000,clasOvertoneCep,0,0,0,2,0,0,0,1,0,0,0,0,0,3
14900 < 15000,t2Cep,0,0,0,0,0,0,0,0,0,0,0,24,0,24
1500 < 1600,Mira,24,0,0,0,0,0,0,0,0,0,0,0,0,24
1500 < 1600,OSARG,0,11,0,1,0,1,0,0,0,0,0,0,0,13
1500 < 1600,RRab,0,0,147,32,5,0,0,0,1,1,1,12,0,199
1500 < 1600,RRc,0,0,3,320,0,0,0,0,0,0,0,0,0,323
1500 < 1600,RRd,0,0,0,2,13,0,0,0,0,0,0,0,0,15
1500 < 1600,SRV,0,2,0,0,0,17,0,0,0,0,0,0,0,19
1500 < 1600,clasCep,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1500 < 1600,contactBinary,0,0,1,0,0,0,0,0,2,0,0,0,0,3
1500 < 1600,detachedBinary,0,0,0,0,0,0,0,0,2,2,0,0,0,4
1500 < 1600,dsct,0,0,0,0,0,0,0,0,0,0,36,0,0,36
1500 < 1600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,42,0,42
1500 < 1600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,9,9
15000 < 15100,RRab,0,0,21,2,0,0,0,0,0,0,0,0,0,23
15000 < 15100,RRc,0,0,0,16,0,0,0,0,0,0,0,0,0,16
15000 < 15100,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,0,0,3
15000 < 15100,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
15000 < 15100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1600 < 1700,Mira,30,0,0,0,0,0,0,0,0,0,0,0,0,30
1600 < 1700,OSARG,0,56,0,0,0,9,0,0,0,0,0,0,0,65
1600 < 1700,RRab,0,0,157,31,0,0,0,0,10,2,0,4,0,204
1600 < 1700,RRc,0,0,0,217,2,0,0,0,6,3,0,0,0,228
1600 < 1700,RRd,0,0,0,0,18,0,0,0,0,0,0,0,0,18
1600 < 1700,SRV,1,0,0,0,0,30,0,0,0,0,0,1,0,32
1600 < 1700,clasOvertoneCep,0,0,0,1,0,0,0,4,1,0,0,0,0,6
1600 < 1700,detachedBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1600 < 1700,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
1600 < 1700,t2Cep,0,0,1,0,0,0,0,0,2,0,0,24,0,27
1600 < 1700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
1700 < 1800,Mira,111,0,0,0,0,0,0,0,0,0,0,0,0,111
1700 < 1800,OSARG,0,212,0,1,0,28,0,0,0,0,1,0,1,243
1700 < 1800,RRab,0,0,108,21,0,0,1,0,2,0,0,10,0,142
1700 < 1800,RRc,0,0,6,160,0,0,0,0,1,0,0,0,0,167
1700 < 1800,RRd,0,0,0,0,9,0,0,0,0,0,0,0,0,9
1700 < 1800,SRV,3,18,0,0,0,175,0,0,0,0,0,0,2,198
1700 < 1800,clasOvertoneCep,0,0,0,4,0,0,0,5,0,0,0,0,0,9
1700 < 1800,detachedBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1700 < 1800,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
1700 < 1800,t2Cep,0,0,0,0,0,0,0,0,1,0,0,26,0,27
1700 < 1800,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
1800 < 1900,Mira,18,0,0,0,0,0,0,0,0,0,0,0,0,18
1800 < 1900,OSARG,0,44,0,1,0,8,0,0,0,0,1,0,0,54
1800 < 1900,RRab,0,0,129,38,2,0,0,0,1,0,0,18,1,189
1800 < 1900,RRc,0,0,9,177,0,0,0,0,3,0,0,0,0,189
1800 < 1900,RRd,0,0,0,0,6,0,0,0,0,0,0,0,0,6
1800 < 1900,SRV,1,0,0,0,0,38,0,0,0,0,0,0,0,39
1800 < 1900,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1800 < 1900,detachedBinary,0,0,0,0,0,0,0,0,1,1,0,0,0,2
1800 < 1900,dsct,0,0,1,0,0,0,0,0,0,0,2,0,0,3
1800 < 1900,t2Cep,0,0,1,1,0,0,0,0,0,0,0,31,0,33
1800 < 1900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,12,12
1900 < 2000,Mira,15,0,0,0,0,0,0,0,0,0,0,0,0,15
1900 < 2000,OSARG,0,9,0,1,0,2,0,0,0,0,0,0,0,12
1900 < 2000,RRab,0,0,296,80,5,0,0,0,0,0,0,14,0,395
1900 < 2000,RRc,0,0,8,456,6,0,0,0,1,0,0,5,0,476
1900 < 2000,RRd,0,0,0,0,36,0,0,0,0,0,0,0,0,36
1900 < 2000,SRV,0,3,0,0,0,9,0,0,0,0,0,0,0,12
1900 < 2000,clasCep,0,0,0,6,0,0,3,0,0,0,0,0,0,9
1900 < 2000,contactBinary,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1900 < 2000,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
1900 < 2000,t2Cep,0,0,0,0,0,0,0,0,0,0,0,72,0,72
1900 < 2000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,24,24
200 < 300,Mira,3404,1,2,0,0,5,18,0,21,0,0,161,214,3826
200 < 300,OSARG,0,737,0,1,1,102,0,0,16,3,0,5,1,866
