No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,9448,562,45,5,0,1618,143,3,198,113,67,120,371,12693
0 < 100,OSARG,634,8874,147,83,1,990,22,12,90,262,19,61,111,11306
0 < 100,RRab,201,114,5444,1985,109,95,181,42,968,2013,99,565,81,11897
0 < 100,RRc,130,60,1206,7548,183,62,160,102,729,1191,123,184,38,11716
0 < 100,RRd,9,6,68,243,71,2,4,0,22,38,9,19,7,498
0 < 100,SRV,4476,1748,95,134,12,3364,648,58,238,219,187,311,614,12104
0 < 100,clasCep,51,11,91,55,9,26,1475,85,97,73,92,308,27,2400
0 < 100,clasOvertoneCep,9,6,45,173,12,9,211,514,59,44,68,57,0,1207
0 < 100,contactBinary,490,148,2275,2802,107,162,223,65,2453,2564,139,548,149,12125
0 < 100,detachedBinary,176,132,778,831,66,98,339,109,1040,7927,163,267,69,11995
0 < 100,dsct,48,19,62,139,4,24,226,157,140,60,436,67,18,1400
0 < 100,t2Cep,91,127,786,410,16,70,248,45,156,234,101,2973,595,5852
0 < 100,t2RVTau,46,66,10,13,0,28,20,0,2,11,5,91,700,992
100 < 200,Mira,6619,39,5,0,0,107,42,2,7,2,2,203,487,7515
100 < 200,OSARG,52,2142,14,7,1,291,7,8,33,29,5,31,9,2629
100 < 200,RRab,40,82,843,248,72,34,1036,162,477,121,9,1551,28,4703
100 < 200,RRc,8,25,179,735,106,10,373,209,1753,115,19,891,7,4430
100 < 200,RRd,4,4,10,5,104,1,49,8,29,5,0,85,2,306
100 < 200,SRV,565,341,13,35,2,2826,311,367,1662,58,7,2788,424,9399
100 < 200,clasCep,4,0,14,9,2,0,2906,234,46,0,6,312,9,3542
100 < 200,clasOvertoneCep,0,0,2,15,0,0,106,1433,16,0,6,56,0,1634
100 < 200,contactBinary,14,26,133,211,7,10,112,122,2627,155,12,522,16,3967
100 < 200,detachedBinary,53,16,77,93,11,13,58,108,3079,1326,19,375,33,5261
100 < 200,dsct,25,22,31,63,12,3,376,694,2553,46,33,641,6,4505
100 < 200,t2Cep,0,11,39,21,0,0,122,40,89,7,6,2445,14,2794
100 < 200,t2RVTau,0,6,0,0,0,4,0,0,0,1,1,45,207,264
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,81,0,0,0,7,0,0,0,0,1,1,0,90
1000 < 1100,RRab,0,1,70,16,0,0,1,0,2,0,0,1,0,91
1000 < 1100,RRc,0,0,5,92,0,0,0,2,0,0,0,0,0,99
1000 < 1100,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1000 < 1100,SRV,1,3,0,0,0,61,0,0,0,0,0,3,0,68
1000 < 1100,contactBinary,0,0,0,0,0,0,0,0,2,1,0,0,0,3
1000 < 1100,detachedBinary,0,0,0,1,0,0,0,0,1,5,0,0,0,7
1000 < 1100,dsct,0,0,0,0,0,0,2,0,3,0,421,0,0,426
1000 < 1100,t2Cep,0,0,0,0,0,0,2,0,0,0,0,12,0,14
10000 < 10100,RRab,0,0,2,1,0,0,0,0,0,0,0,3,0,6
10100 < 10200,RRab,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10200 < 10300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10200 < 10300,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10300 < 10400,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10400 < 10500,RRab,0,0,1,0,0,0,0,0,0,1,0,0,0,2
10400 < 10500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10600 < 10700,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
10600 < 10700,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10700 < 10800,RRab,0,0,2,0,0,0,0,0,0,0,0,1,0,3
10700 < 10800,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
10900 < 11000,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10900 < 11000,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
1100 < 1200,Mira,96,0,0,0,0,0,0,0,0,0,0,0,0,96
1100 < 1200,OSARG,0,215,0,1,0,12,0,0,0,0,1,0,0,229
1100 < 1200,RRab,0,0,15,0,0,0,0,0,1,1,0,0,0,17
1100 < 1200,RRc,0,1,0,17,0,0,0,0,1,0,0,1,0,20
1100 < 1200,SRV,3,20,0,0,0,176,0,0,0,0,0,1,3,203
1100 < 1200,clasCep,0,0,0,0,0,0,5,0,0,0,0,0,0,5
1100 < 1200,contactBinary,0,0,0,4,0,0,0,0,4,0,0,0,0,8
1100 < 1200,detachedBinary,0,0,2,2,0,0,0,0,5,3,0,0,0,12
1100 < 1200,dsct,0,0,0,0,0,0,0,0,0,0,123,0,0,123
1100 < 1200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
11000 < 11100,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11000 < 11100,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
11100 < 11200,RRab,0,0,5,0,0,0,0,0,0,0,0,1,0,6
11100 < 11200,RRc,0,0,0,2,0,0,0,0,0,0,0,3,0,5
11200 < 11300,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
11200 < 11300,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11300 < 11400,RRab,0,0,0,0,0,0,0,0,0,0,0,1,0,1
11300 < 11400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11400 < 11500,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
