No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
0 < 100,Mira,9360,414,34,3,5,1688,122,5,242,85,99,87,549,12693
0 < 100,OSARG,620,8750,160,75,1,1119,16,12,85,214,33,83,138,11306
0 < 100,RRab,178,101,5582,1679,127,88,180,39,1182,1775,107,750,109,11897
0 < 100,RRc,96,52,1384,7282,183,49,161,76,809,1064,135,363,62,11716
0 < 100,RRd,3,5,45,238,108,4,8,0,27,27,9,19,5,498
0 < 100,SRV,4152,1571,97,82,12,3580,708,74,270,190,190,379,799,12104
0 < 100,clasCep,23,5,58,28,0,16,1651,67,54,43,106,314,35,2400
0 < 100,clasOvertoneCep,12,4,25,129,6,11,227,557,31,31,107,66,1,1207
0 < 100,contactBinary,417,110,2014,2593,89,104,196,54,3205,2289,167,746,141,12125
0 < 100,detachedBinary,133,92,744,718,47,96,339,76,1285,7871,218,306,70,11995
0 < 100,dsct,39,18,50,101,41,14,194,105,108,126,494,88,22,1400
0 < 100,t2Cep,41,79,608,369,12,34,172,36,157,153,88,3540,563,5852
0 < 100,t2RVTau,25,38,4,9,0,27,18,0,5,4,2,124,736,992
100 < 200,Mira,5437,36,0,0,0,146,107,5,5,3,6,235,1535,7515
100 < 200,OSARG,45,2084,20,7,3,323,15,7,40,37,5,31,12,2629
100 < 200,RRab,8,35,870,235,51,25,942,122,476,131,6,1754,48,4703
100 < 200,RRc,1,6,222,772,70,5,370,174,1759,95,17,932,7,4430
100 < 200,RRd,0,0,16,24,88,1,47,4,29,0,2,89,6,306
100 < 200,SRV,360,238,25,24,0,2658,456,255,1603,28,8,3198,546,9399
100 < 200,clasCep,2,5,8,8,0,1,3011,195,29,0,3,275,5,3542
100 < 200,clasOvertoneCep,0,0,2,21,0,0,127,1426,12,0,4,42,0,1634
100 < 200,contactBinary,3,22,150,174,6,16,125,114,2677,140,7,525,8,3967
100 < 200,detachedBinary,34,29,75,90,3,13,101,95,3058,1319,10,358,76,5261
100 < 200,dsct,4,23,15,37,7,2,350,556,2657,15,34,796,9,4505
100 < 200,t2Cep,4,6,26,23,0,2,72,36,62,1,0,2548,14,2794
100 < 200,t2RVTau,0,3,0,0,0,0,0,0,1,0,1,21,238,264
1000 < 1100,Mira,57,0,0,0,0,0,0,0,0,0,0,0,0,57
1000 < 1100,OSARG,0,77,0,0,0,11,0,0,0,0,1,1,0,90
1000 < 1100,RRab,0,0,64,23,0,0,2,0,2,0,0,0,0,91
1000 < 1100,RRc,0,0,6,88,1,0,0,2,0,0,2,0,0,99
1000 < 1100,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1000 < 1100,SRV,1,1,0,0,0,64,0,0,0,0,0,2,0,68
